variant_id,product_id,sku,size,color,additional_price,weight_oz,stock_quantity,created_at
1,P000001,SKU000001V001,M,Blue,12.72,6.63,499,2023-11-09 12:37:37
2,P000001,SKU000001V002,M,Beige,10.59,3.00,489,2025-07-06 15:47:43
3,P000001,SKU000001V003,S,Navy,15.29,11.78,316,2024-11-04 17:48:18
4,P000001,SKU000001V004,XL,Red,17.45,12.98,433,2024-05-16 12:28:04
5,P000001,SKU000001V005,M,Beige,13.71,6.71,362,2024-12-08 19:35:24
6,P000002,SKU000002V006,S,Black,2.74,6.85,154,2025-04-12 02:36:26
7,P000002,SKU000002V007,L,Blue,6.81,4.12,476,2025-03-06 18:48:58
8,P000002,SKU000002V008,S,Navy,10.07,4.45,435,2024-05-29 01:41:43
9,P000002,SKU000002V009,XL,Pink,13.79,8.83,497,2024-12-01 05:32:57
10,P000002,SKU000002V010,XL,Brown,14.05,3.48,420,2024-11-16 05:55:31
11,P000003,SKU000003V011,XS,White,16.38,2.23,482,2023-10-11 13:13:58
12,P000003,SKU000003V012,M,Beige,13.82,12.62,81,2024-03-06 18:35:23
13,P000003,SKU000003V013,XL,Brown,15.27,4.24,185,2024-12-18 11:46:05
14,P000003,SKU000003V014,M,Black,14.89,4.89,70,2025-03-12 10:49:02
15,P000003,SKU000003V015,XXL,Navy,13.76,3.63,167,2024-06-10 15:59:30
16,P000003,SKU000003V016,S,White,8.50,12.19,400,2025-06-09 00:42:53
17,P000004,SKU000004V017,XS,Green,15.15,4.55,31,2025-09-07 15:14:57
18,P000004,SKU000004V018,XS,Brown,11.86,3.55,250,2025-08-16 18:21:54
19,P000004,SKU000004V019,M,Black,1.32,2.13,351,2025-06-06 02:45:45
20,P000005,SKU000005V020,XS,Pink,4.11,4.60,471,2024-06-27 15:47:41
21,P000005,SKU000005V021,XXL,Red,0.59,13.00,84,2023-11-17 10:35:47
22,P000005,SKU000005V022,M,Pink,6.96,13.12,92,2024-01-20 23:32:28
23,P000006,SKU000006V023,XL,Pink,1.37,9.52,429,2024-05-01 20:26:59
24,P000006,SKU000006V024,XS,Brown,4.34,14.54,108,2025-07-11 00:48:35
25,P000006,SKU000006V025,S,Brown,0.09,3.28,381,2023-10-21 05:24:21
26,P000006,SKU000006V026,S,Brown,17.03,6.76,253,2024-06-16 10:33:19
27,P000007,SKU000007V027,L,White,3.62,14.76,191,2024-07-14 11:17:28
28,P000007,SKU000007V028,L,Gray,10.29,3.47,218,2025-01-25 15:18:17
29,P000007,SKU000007V029,M,White,9.32,3.77,276,2024-11-14 23:52:11
30,P000007,SKU000007V030,M,Beige,11.14,3.07,30,2025-07-12 07:52:40
31,P000008,SKU000008V031,XS,Blue,5.67,11.57,317,2024-02-02 22:11:29
32,P000008,SKU000008V032,XXL,Green,4.52,5.78,218,2024-12-13 12:09:55
33,P000008,SKU000008V033,L,Gray,17.14,12.93,468,2025-01-09 11:09:32
34,P000008,SKU000008V034,L,Red,3.59,8.39,355,2024-07-25 14:20:16
35,P000008,SKU000008V035,XS,Blue,8.76,10.79,347,2024-02-19 13:17:31
36,P000008,SKU000008V036,XS,Navy,7.90,9.68,365,2025-01-01 07:28:36
37,P000009,SKU000009V037,XXL,Navy,1.29,6.40,111,2023-12-26 18:26:16
38,P000009,SKU000009V038,XL,Blue,2.46,7.52,439,2025-07-29 13:29:26
39,P000009,SKU000009V039,L,Beige,15.30,9.56,402,2025-05-26 16:14:38
40,P000010,SKU000010V040,XXL,Blue,7.12,9.84,351,2025-05-02 18:01:15
41,P000010,SKU000010V041,L,Green,10.23,11.98,85,2024-05-23 11:04:41
42,P000010,SKU000010V042,XS,White,5.01,5.00,264,2025-03-27 19:24:38
