return_item_id,return_id,order_item_id,quantity_returned,item_condition,refund_eligible,restockable
RI848DV3ZR,RETMROYOT71,78609,1,like_new,t,t
RICOIGZ2TN,RETMROYOT71,78610,1,worn,t,t
RIFKDWUHH2,RET20TZ0619,128304,1,like_new,f,t
RI42CGHZ25,RET20TZ0619,128303,1,like_new,t,t
RICDB9KL4U,RETBT5AX7TP,3557,1,like_new,t,t
RI5IXT4LKX,RETJMQ44CLL,152300,1,like_new,t,f
RI0NLL1794,RETTZP3QSKH,66294,1,worn,t,t
RI5YDL0DEZ,RETTZP3QSKH,66295,1,like_new,t,t
RIU1MCPAPA,RET8C3P77JG,199095,1,worn,t,t
RI1BRN24L8,RET8C3P77JG,199096,1,like_new,t,f
RINAMUC8DJ,RET4HIRYSUP,4812,1,worn,t,t
RIAP181JT7,RET4HIRYSUP,4811,1,like_new,t,t
RI5INODF9H,RETI16L8STY,148314,1,like_new,t,t
RI8G2B5RGY,RETMMSEWE5L,66338,1,like_new,t,t
RIHZNX4CKV,RETG8Z6NEOQ,191320,2,like_new,t,f
RI5TX682P4,RETDZT16LHQ,58007,1,worn,t,t
RI6M4K93IC,RETUK80CTYT,64039,1,like_new,t,t
RIWBY9TT2Q,RETJ538Z7GY,43000,1,like_new,t,t
RI5S7ZJPH9,RETJ538Z7GY,43001,1,like_new,t,f
RI4B4RYC4H,RETIJLRTJA0,57455,1,worn,t,t
RI3604MR1I,RETIJLRTJA0,57454,1,like_new,t,f
RICBTE09AZ,RETS2OWYXS7,276545,1,like_new,t,t
RIFQXMUWA3,RET76KATWSR,182424,1,like_new,t,f
RIPGAIS2VV,RET76KATWSR,182423,1,damaged,t,t
RIG0DK21KN,RETVQ93BJPI,291382,1,like_new,t,t
RI7CBS8GRK,RETVQ93BJPI,291384,1,like_new,t,t
RIH1T85C9N,RETG2N570SQ,232020,1,damaged,f,f
RI2DRO8GLT,RET5UCFZ5GO,100379,1,like_new,t,t
RIDTC76KE8,RETSZOWJPQE,36563,1,damaged,t,t
RI5QN1JWE2,RETSZOWJPQE,36562,1,like_new,t,t
RIFZY4ZMB6,RETOAIIV21P,22924,1,like_new,t,t
RI3EE2NAGB,RETPN8XYGNE,212669,1,like_new,t,t
RIY03UZEF9,RETDQC6P2F5,98563,1,worn,t,t
RIE7E638OZ,RETASDIMN31,287267,1,like_new,t,t
RI25VKLPIK,RETASDIMN31,287268,1,worn,t,t
RIKG3NMG2D,RET8YGU4RBV,182796,1,like_new,f,t
RIAW9ESP7E,RET14DW753U,213282,1,like_new,t,f
RIWC4NL1KD,RET14DW753U,213283,1,like_new,t,t
RIWOC4532W,RETJ6EU13KZ,230777,1,damaged,t,t
RIJ1SXHQE6,RETJ6EU13KZ,230775,1,like_new,t,f
RIN3O7GEDX,RETYSV3L5HP,1121,1,like_new,t,t
RIL5IAKFGF,RETE9UFVMDU,219150,1,like_new,t,t
RI3WKCS96L,RETZ41M6DHP,187572,1,damaged,t,f
RIBOESS5CN,RETA3H2ADPT,94529,1,damaged,t,t
RIAT9DHFQB,RET0CYDER1A,193842,1,damaged,t,f
RIX7RSQIBR,RET3E8ARRAR,195057,1,like_new,t,f
RIJEHI6PFI,RET4J4AB8GY,197953,1,like_new,t,t
RIJF4GWUC4,RET4J4AB8GY,197952,2,like_new,t,t
RI0AIGY8F1,RETC6LACRS7,3047,1,like_new,t,f
RITA80I035,RET8ETE0M4E,1144,1,like_new,t,f
RIICVN364Y,RET8ETE0M4E,1145,1,like_new,t,t
RI7CLRE0S5,RETR2NKNJGZ,54491,1,damaged,t,t
RIG1ISGDB7,RETR2NKNJGZ,54492,1,damaged,f,t
RI05M829N8,RETQAFVZH12,191951,1,like_new,t,t
RII1AROXJH,RETQAFVZH12,191950,1,like_new,t,f
RIOE182906,RET72YJISZB,104034,1,like_new,t,t
RIGCM5ACQM,RET0L876SGW,280262,1,like_new,t,t
RIEK744JFS,RET0L876SGW,280263,1,like_new,t,t
RI3URUTOMV,RET2QDA5ZTV,60349,1,like_new,t,t
RILA8LBOF4,RET2QDA5ZTV,60350,1,like_new,t,t
RIGWCHOX2Z,RET7OTSP7FV,75860,1,worn,t,t
RIM13R4O04,RET7OTSP7FV,75862,1,like_new,t,f
RITCWICVDE,RET46VWVVP9,50469,1,damaged,t,t
RITBK0LUEJ,RETUA02YFBF,94661,1,like_new,t,t
RIIAATTMSB,RETUA02YFBF,94662,1,like_new,f,t
RI61UOMQTR,RETZNBRMN9O,205491,1,like_new,t,t
RI0ZI94YT0,RETSML2BHR5,254686,1,like_new,t,t
RITAPWCHA2,RETSML2BHR5,254685,1,like_new,t,t
RI5H1RFCH7,RET82QH86CT,142855,1,worn,t,t
RIE6WZKX5T,RET82QH86CT,142856,1,like_new,t,t
RI0AX1Z4RX,RETHPCSNF91,137250,1,like_new,t,f
RI2M1KAOCS,RETHPCSNF91,137249,1,damaged,t,t
RINEN76MBM,RETFQB8W9PI,300177,1,worn,t,t
RIPZCCYU0O,RET69CFRC1F,124162,1,like_new,t,f
RI3UNBCKIL,RETXBADZ1OU,206551,1,like_new,t,f
RITRNVJKKP,RETDTOGOB6M,87092,1,like_new,t,t
RIMP93UNZT,RETMZ29VGKS,169093,1,like_new,t,t
RIN0EDDUA3,RETMZ29VGKS,169092,2,like_new,t,t
RIP0WQN2V4,RETW0PVJXIJ,194474,1,damaged,t,t
RIGWDA4DK1,RETW0PVJXIJ,194473,1,like_new,t,t
RIUT0JCJSF,RETB4QPYTGY,64346,1,worn,t,t
RI3D8W099R,RET5LIV4KGW,135204,1,like_new,t,t
RIEHLQO8MO,RET2CYM60WO,756,1,like_new,t,t
RIS2CX9EQI,RET2CYM60WO,755,1,like_new,t,t
RI7C5O5DI0,RETB98M5EFN,196160,1,like_new,f,t
RIIZW9OXG9,RETB98M5EFN,196161,1,like_new,t,f
RIMJZMQIGM,RETY4C2KWXZ,32167,1,damaged,t,t
RIV3HGZ6VZ,RETRKTQTWQ0,170642,1,like_new,t,t
RIXBSP9CQ5,RETRKTQTWQ0,170645,1,like_new,t,t
RIDACTPWBF,RETYDUH3F4U,177715,1,like_new,t,f
RIDUKNT8VB,RET8RTAVO5A,290523,1,like_new,t,t
RIUW0UYE7K,RET8RTAVO5A,290524,1,like_new,t,t
RIC6XYJIQA,RETLYZOUTWF,8750,1,like_new,t,t
RIITQVPJQK,RETEYHWGZ5E,285135,1,like_new,t,t
RI14BW1M94,RETEYHWGZ5E,285136,1,worn,t,t
RIYAZENUP9,RETAG1523VJ,201063,1,like_new,t,t
RI4ZIBR7EM,RETF109I1VI,171535,1,worn,t,f
RI461VJWZP,RETF109I1VI,171536,1,like_new,t,f
RIST9A0NNV,RETMWQ8QU75,67120,2,like_new,t,f
RIBX4VNN45,RETMWQ8QU75,67121,1,like_new,t,t
RI85R0QYRE,RETSE2B1KDW,247572,1,like_new,t,t
RINQF4FJ36,RETSE2B1KDW,247573,1,damaged,f,t
RIVMWR1ZAU,RETK3PY2CD3,57200,1,like_new,t,t
RIXQEW9WJ3,RETPORYSI7D,52755,1,worn,t,t
RISBRRV4H5,RETOQBM4OC1,36401,1,damaged,t,t
RI340UQI1R,RET1A3ECHC6,181450,1,like_new,t,t
RILIQ6ZNY6,RET76MF9U38,102792,1,like_new,t,t
RI5PBOK4G6,RETZ5Y84EI3,63089,1,like_new,t,t
RI7TQIUU95,RETY7TZBT9Y,78977,1,like_new,t,t
RII0LV156V,RETRMMDJ73G,227091,1,damaged,f,t
RIPKPTI0B8,RET251WSFAV,10885,1,like_new,f,t
RIJ8IMNC5F,RET251WSFAV,10884,1,like_new,t,t
RIR8J2LAT8,RETJPDLSYA2,268506,1,worn,t,f
RIZJ8XS3CC,RETJPDLSYA2,268507,1,like_new,t,t
RIMHZVOJEO,RETRJ7S3UBL,186360,1,damaged,t,t
RIAIFGGZ3U,RETRJ7S3UBL,186362,1,damaged,t,t
RIBHN66M6N,RETLT6WZEE7,300217,1,like_new,t,t
RIN9HUUWOC,RET91D8KZ1G,61113,1,worn,t,f
RID94DPAN1,RET4MRQFOUD,127688,1,damaged,t,t
RIDXMMK882,RET7AW0ILX1,244078,1,worn,f,t
RIHPJRTBBE,RET7AW0ILX1,244080,1,like_new,t,t
RISI0LSHQ0,RETN7VR7Z6Y,155970,1,like_new,t,t
RI9K5XT9RP,RETN7VR7Z6Y,155973,1,like_new,t,t
