return_id,order_id,customer_id,return_date,return_reason,return_method,refund_amount,refund_method,return_status,restocking_fee,condition_received,processed_by,created_at
RETMROYOT71,31488,18018,2024-10-27 12:04:07,changed_mind,pickup,28.27,store_credit,processed,5.46,good,Nicholas Mckee,2024-10-27 12:04:07
RET20TZ0619,51425,48408,2025-03-25 10:53:23,fit,mail,38.08,original_payment,approved,7.32,poor,Allison Mclaughlin,2025-03-25 10:53:23
RETBT5AX7TP,1401,15526,2025-02-26 14:01:50,other,mail,58.12,original_payment,pending,7.71,poor,Rachel Kelley,2025-02-26 14:01:50
RETJMQ44CLL,60915,49347,2025-01-14 07:55:52,fit,pickup,42.09,store_credit,pending,5.76,new,Garrett Jones,2025-01-14 07:55:52
RETTZP3QSKH,26554,9478,2025-06-27 23:25:04,defective,mail,45.46,store_credit,completed,12.73,good,Brian Brady,2025-06-27 23:25:04
RET8C3P77JG,79557,35826,2024-12-21 12:53:20,defective,pickup,48.11,store_credit,processed,0.78,good,Christopher Taylor,2024-12-21 12:53:20
RET4HIRYSUP,1906,31503,2025-09-02 08:24:47,changed_mind,store,51.09,store_credit,completed,3.03,poor,Sherry Nelson,2025-09-02 08:24:47
RETI16L8STY,59327,16597,2024-12-22 01:36:41,changed_mind,store,25.97,original_payment,pending,13.64,new,Anthony Smith,2024-12-22 01:36:41
RETMMSEWE5L,26576,12419,2025-02-04 03:12:38,fit,pickup,42.88,original_payment,approved,11.41,fair,Gregory Snyder,2025-02-04 03:12:38
RETG8Z6NEOQ,76456,16053,2024-05-20 03:08:05,other,mail,47.29,store_credit,processed,5.20,fair,John Hensley,2024-05-20 03:08:05
RETDZT16LHQ,23242,2283,2025-08-14 18:30:50,changed_mind,store,58.20,original_payment,processed,1.65,fair,Victoria Jordan,2025-08-14 18:30:50
RETUK80CTYT,25652,25442,2025-08-14 17:27:14,fit,store,67.54,store_credit,approved,2.46,new,Theodore White,2025-08-14 17:27:14
RETJ538Z7GY,17209,1105,2025-07-04 18:20:33,fit,store,29.62,store_credit,processed,1.70,like_new,Darlene Francis,2025-07-04 18:20:33
RETIJLRTJA0,23022,3671,2024-04-27 19:58:19,defective,store,33.63,store_credit,approved,3.11,good,Steven Patel,2024-04-27 19:58:19
RETS2OWYXS7,110515,17071,2025-07-04 14:38:25,fit,pickup,81.41,original_payment,processed,1.87,fair,Beverly Lam,2025-07-04 14:38:25
RET76KATWSR,72886,14691,2025-09-25 04:02:28,changed_mind,mail,73.05,store_credit,processed,0.41,like_new,Gavin Phillips,2025-09-25 04:02:28
RETVQ93BJPI,116459,16126,2025-05-15 09:30:04,defective,mail,17.15,store_credit,processed,3.24,like_new,Angela Morrow,2025-05-15 09:30:04
RETG2N570SQ,92711,3029,2025-07-04 16:50:34,defective,store,48.76,original_payment,approved,9.74,fair,Kevin Williams,2025-07-04 16:50:34
RET5UCFZ5GO,40212,2531,2024-12-25 22:59:25,changed_mind,pickup,52.86,store_credit,completed,4.14,new,Bill Parker,2024-12-25 22:59:25
RETSZOWJPQE,14655,20370,2024-12-10 23:23:43,defective,store,44.23,original_payment,approved,4.69,good,April Rivera,2024-12-10 23:23:43
RETOAIIV21P,9153,30903,2025-06-29 11:16:49,defective,mail,43.29,store_credit,pending,2.34,poor,Audrey Pratt,2025-06-29 11:16:49
RETPN8XYGNE,84995,30447,2024-11-04 11:45:25,fit,mail,58.31,original_payment,processed,5.57,like_new,Kelsey King,2024-11-04 11:45:25
RETDQC6P2F5,39480,8225,2025-04-02 02:00:21,fit,store,51.81,store_credit,completed,0.66,good,Gregory Murphy,2025-04-02 02:00:21
RETASDIMN31,114809,32452,2025-07-12 17:59:58,other,mail,69.06,store_credit,approved,1.75,like_new,William Jackson,2025-07-12 17:59:58
RET8YGU4RBV,73031,17317,2024-11-08 08:18:16,defective,mail,42.88,original_payment,completed,6.02,new,Shannon Watson,2024-11-08 08:18:16
