order_item_id,order_id,variant_id,quantity,unit_price,discount_amount,total_price,return_quantity,personalization_data
1,1,12,3,150.73,0.00,452.19,0,"{""fit_notes"": ""standard"", ""customization"": null}"
2,1,15,1,341.13,0.00,341.13,0,"{""fit_notes"": ""standard"", ""customization"": null}"
3,2,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
4,2,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
5,2,1,1,95.01,0.00,95.01,0,"{""fit_notes"": ""standard"", ""customization"": null}"
6,3,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
7,4,11,1,160.51,16.38,144.13,0,"{""fit_notes"": ""standard"", ""customization"": null}"
8,4,4,1,141.22,0.00,141.22,0,"{""fit_notes"": ""standard"", ""customization"": null}"
9,4,10,1,286.41,0.00,286.41,0,"{""fit_notes"": ""standard"", ""customization"": null}"
10,5,10,1,286.41,0.00,286.41,0,"{""fit_notes"": ""standard"", ""customization"": null}"
11,5,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
12,5,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
13,6,9,2,31.53,4.73,53.60,0,"{""fit_notes"": ""standard"", ""customization"": null}"
14,6,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
15,7,5,1,44.94,8.46,36.48,0,"{""fit_notes"": ""standard"", ""customization"": null}"
16,7,6,3,63.77,0.00,191.31,0,"{""fit_notes"": ""standard"", ""customization"": null}"
17,8,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
18,8,12,2,150.73,0.00,301.46,0,"{""fit_notes"": ""standard"", ""customization"": null}"
19,9,14,1,72.63,0.00,72.63,0,"{""fit_notes"": ""standard"", ""customization"": null}"
20,9,15,1,341.13,48.45,292.68,0,"{""fit_notes"": ""standard"", ""customization"": null}"
21,9,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
22,10,10,1,286.41,0.00,286.41,0,"{""fit_notes"": ""standard"", ""customization"": null}"
23,10,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
24,10,8,1,50.71,0.00,50.71,0,"{""fit_notes"": ""standard"", ""customization"": null}"
25,10,4,1,141.22,21.18,120.04,0,"{""fit_notes"": ""standard"", ""customization"": null}"
26,11,8,2,50.71,0.00,101.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
27,11,15,1,341.13,0.00,341.13,0,"{""fit_notes"": ""standard"", ""customization"": null}"
28,12,14,1,72.63,0.00,72.63,0,"{""fit_notes"": ""standard"", ""customization"": null}"
29,12,1,2,95.01,0.00,190.02,0,"{""fit_notes"": ""standard"", ""customization"": null}"
30,13,1,2,95.01,9.55,170.92,0,"{""fit_notes"": ""standard"", ""customization"": null}"
31,14,2,1,210.24,0.00,210.24,0,"{""fit_notes"": ""standard"", ""customization"": null}"
32,14,15,1,341.13,0.00,341.13,0,"{""fit_notes"": ""standard"", ""customization"": null}"
33,15,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
34,16,13,1,626.18,0.00,626.18,0,"{""fit_notes"": ""standard"", ""customization"": null}"
35,16,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
36,17,5,2,44.94,2.45,84.99,0,"{""fit_notes"": ""standard"", ""customization"": null}"
37,18,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
38,18,8,2,50.71,0.00,101.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
39,19,2,1,210.24,0.00,210.24,0,"{""fit_notes"": ""standard"", ""customization"": null}"
40,20,14,1,72.63,0.00,72.63,0,"{""fit_notes"": ""standard"", ""customization"": null}"
41,20,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
42,21,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
43,21,4,1,141.22,0.00,141.22,0,"{""fit_notes"": ""standard"", ""customization"": null}"
44,21,14,2,72.63,0.00,145.26,0,"{""fit_notes"": ""standard"", ""customization"": null}"
45,22,6,2,63.77,0.00,127.54,0,"{""fit_notes"": ""standard"", ""customization"": null}"
46,23,5,1,44.94,3.12,41.82,0,"{""fit_notes"": ""standard"", ""customization"": null}"
47,23,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
48,24,9,3,31.53,0.00,94.59,0,"{""fit_notes"": ""standard"", ""customization"": null}"
49,24,2,3,210.24,29.07,543.51,0,"{""fit_notes"": ""standard"", ""customization"": null}"
50,24,3,2,97.42,16.09,162.66,0,"{""fit_notes"": ""standard"", ""customization"": null}"
51,25,8,1,50.71,0.00,50.71,0,"{""fit_notes"": ""standard"", ""customization"": null}"
52,26,13,1,626.18,0.00,626.18,0,"{""fit_notes"": ""standard"", ""customization"": null}"
53,27,14,1,72.63,9.74,62.89,0,"{""fit_notes"": ""standard"", ""customization"": null}"
54,27,12,1,150.73,0.00,150.73,0,"{""fit_notes"": ""standard"", ""customization"": null}"
55,27,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
56,27,9,1,31.53,0.00,31.53,0,"{""fit_notes"": ""standard"", ""customization"": null}"
57,27,1,1,95.01,0.00,95.01,0,"{""fit_notes"": ""standard"", ""customization"": null}"
58,28,9,1,31.53,0.00,31.53,0,"{""fit_notes"": ""standard"", ""customization"": null}"
59,29,2,1,210.24,0.00,210.24,0,"{""fit_notes"": ""standard"", ""customization"": null}"
60,29,11,1,160.51,0.00,160.51,0,"{""fit_notes"": ""standard"", ""customization"": null}"
61,30,11,1,160.51,0.00,160.51,0,"{""fit_notes"": ""standard"", ""customization"": null}"
62,30,4,3,141.22,0.00,423.66,0,"{""fit_notes"": ""standard"", ""customization"": null}"
63,31,4,1,141.22,11.92,129.30,0,"{""fit_notes"": ""standard"", ""customization"": null}"
64,31,14,2,72.63,0.00,145.26,0,"{""fit_notes"": ""standard"", ""customization"": null}"
65,31,1,1,95.01,15.99,79.02,0,"{""fit_notes"": ""standard"", ""customization"": null}"
66,31,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
67,32,9,1,31.53,0.00,31.53,0,"{""fit_notes"": ""standard"", ""customization"": null}"
68,33,8,1,50.71,0.00,50.71,0,"{""fit_notes"": ""standard"", ""customization"": null}"
69,33,12,1,150.73,0.00,150.73,0,"{""fit_notes"": ""standard"", ""customization"": null}"
70,34,13,1,626.18,32.28,593.90,0,"{""fit_notes"": ""standard"", ""customization"": null}"
71,34,1,1,95.01,0.00,95.01,0,"{""fit_notes"": ""standard"", ""customization"": null}"
72,35,15,2,341.13,54.98,572.30,0,"{""fit_notes"": ""standard"", ""customization"": null}"
73,35,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
74,36,11,1,160.51,20.86,139.65,0,"{""fit_notes"": ""standard"", ""customization"": null}"
75,37,14,2,72.63,4.03,137.20,0,"{""fit_notes"": ""standard"", ""customization"": null}"
76,37,15,2,341.13,0.00,682.26,0,"{""fit_notes"": ""standard"", ""customization"": null}"
77,37,4,2,141.22,0.00,282.44,0,"{""fit_notes"": ""standard"", ""customization"": null}"
78,38,2,1,210.24,0.00,210.24,0,"{""fit_notes"": ""standard"", ""customization"": null}"
79,38,11,1,160.51,0.00,160.51,0,"{""fit_notes"": ""standard"", ""customization"": null}"
