brand_id,brand_name,brand_tier,created_at,description,is_active,parent_company,website_url,year_established
1,Bella Vista,Premium,2023-06-15 18:19:44,"Score each cause. Quality throughout beautiful instead.
Despite measure ago current.",True,,https://lee.com/,1981
2,Urban Thread,Value,2021-01-27 09:37:49,"Herself law street class. Decide environment view possible participant commercial.
Left establish understand read. Range successful simply director allow.",True,,http://www.henderson.info/,2019
3,Coastal Chic,Fast Fashion,2022-12-26 09:34:57,"Team activity result race Mr environment political. Fall citizen about reveal.
Seven medical blood personal success medical current. Several much single morning a food.
Upon these story film.",False,Hickman Ltd,http://carney-santos.info/,1961
4,Metro Style,Contemporary,2024-07-23 22:48:50,Building different full open discover detail audience. Arrive attack all form method everything magazine much. Office drug list imagine behind probably great.,True,,http://www.kidd.com/,1953
5,Classic Craft,Luxury,2021-06-10 19:17:51,Loss ten total clearly able hospital unit. Expect recent room situation product main couple. Why often my security arm.,True,,https://smith.org/,2019
6,Modern Muse,Luxury,2021-02-27 18:20:28,"Defense enter value thing these hard citizen. Region particularly would pressure account stage federal.
Enough threat score choice. Painting response data plant enough.",True,,http://www.johnson.biz/,1985
7,Sunset Styles,Luxury,2021-04-11 10:17:00,"Half value win always group.
Government nice themselves wind. Understand door class son.
Agent say forward us soon ten. Environment skin blue the teach.",True,Rasmussen LLC,https://zavala.com/,1970
8,City Casual,Fast Fashion,2024-06-18 21:07:54,"Oil worker although others. Rock finish paper memory history office.
Remember ability understand. Rather vote say culture issue we TV.",True,,http://jackson.org/,1969
9,Elite Edge,Contemporary,2022-02-28 03:29:38,Pull different current agency each. Particularly shoulder lay though offer responsibility himself.,True,,https://briggs.net/,1963
10,Vintage Vibe,Fast Fashion,2022-08-19 03:38:03,"Late seem style everyone sing machine dream. Back experience even floor music catch.
Really relationship ask imagine my indeed. Strategy hope show watch affect.",True,,http://elliott.com/,1994
11,Fresh Fashion,Luxury,2024-06-03 01:19:51,"Anyone here deep force. Everything week instead strong like see. Yourself glass practice.
Wear current after.
Call prove nor design record. Cold parent security boy standard who.",True,,https://hunter.com/,2008
12,Bold Basics,Value,2024-05-07 05:14:42,Black whether player stock religious itself safe. Pattern try simple let stay. Environmental system store beautiful think during let particular.,True,,https://schmidt.com/,1998
13,Luxe Label,Fast Fashion,2022-03-25 23:13:01,"Fill discover return firm sea. Course school everybody operation. Others wonder strategy fast guess few remain.
Animal approach factor want point. Bill activity expect long future whole education.",False,,http://kerr-evans.org/,1996
14,Street Smart,Premium,2022-07-23 14:42:18,Perform participant science way debate decision produce. Dream necessary choose impact.,True,,https://george.com/,1955
15,Pure Elegance,Luxury,2023-04-21 06:50:45,"Before while structure. Onto again share start office several compare.
Trouble consider one play man before. Impact fly bit claim in many. Spend nearly lawyer fire follow wife.",True,,https://www.russell.com/,1960
16,Trend Tribe,Luxury,2022-09-12 06:47:39,"Marriage respond meeting event. Woman during necessary himself two meet these.
Significant take future skin environment. Executive fear only.",True,,http://martinez.com/,1998
