response_id,campaign_id,customer_id,sent_date,delivered_date,opened_date,clicked_date,converted_date,conversion_order_id,conversion_amount,response_status
RESP_000736,CAMP001,766,2025-07-19 20:28:14.547959,,,,,,0.00,bounced
RESP_000910,CAMP005,989,2025-10-05 03:09:02.114037,,,,,,0.00,bounced
RESP_000987,CAMP002,328,2025-08-08 19:57:52.193712,2025-08-08 20:50:47.678639,,,,,0.00,delivered
RESP_001797,CAMP002,567,2025-08-08 19:57:52.193712,2025-08-08 20:37:04.54535,,,,,0.00,delivered
RESP_002281,CAMP001,776,2025-07-19 20:28:14.547959,2025-07-19 21:53:21.351862,,,,,0.00,delivered
RESP_002613,CAMP003,3517,2025-08-28 03:49:03.285031,,,,,,0.00,bounced
RESP_004168,CAMP003,3955,2025-08-28 03:49:03.285031,,,,,,0.00,bounced
RESP_004472,CAMP002,634,2025-08-08 19:57:52.193712,,,,,,0.00,bounced
RESP_004636,CAMP001,955,2025-07-19 20:28:14.547959,2025-07-19 21:43:39.288369,,,,,0.00,delivered
RESP_004956,CAMP001,720,2025-07-19 20:28:14.547959,2025-07-19 21:41:58.796945,,,,,0.00,delivered
RESP_005445,CAMP002,2997,2025-08-08 19:57:52.193712,,,,,,0.00,bounced
RESP_005689,CAMP002,793,2025-08-08 19:57:52.193712,,,,,,0.00,bounced
RESP_000001,CAMP001,1396,2025-07-19 20:28:14.547959,2025-07-19 22:27:24.790073,,,,,0.00,delivered
RESP_000002,CAMP002,1396,2025-08-08 19:57:52.193712,2025-08-08 20:13:55.42359,,,,,0.00,delivered
RESP_000003,CAMP003,1396,2025-08-28 03:49:03.285031,2025-08-28 04:43:56.654041,,,,,0.00,delivered
RESP_000004,CAMP004,1396,2025-09-15 01:38:52.585289,2025-09-15 02:45:44.895152,2025-09-15 22:06:24.532822,,,,0.00,opened
RESP_000005,CAMP005,1396,2025-10-05 03:09:02.114037,2025-10-05 04:29:09.778838,,,,,0.00,delivered
RESP_000006,CAMP001,1060,2025-07-19 20:28:14.547959,2025-07-19 21:19:49.362361,,,,,0.00,delivered
RESP_000007,CAMP002,1060,2025-08-08 19:57:52.193712,2025-08-08 20:03:43.277972,,,,,0.00,delivered
RESP_000008,CAMP003,1060,2025-08-28 03:49:03.285031,2025-08-28 05:13:58.990519,,,,,0.00,delivered
RESP_000009,CAMP004,1060,2025-09-15 01:38:52.585289,2025-09-15 02:30:37.760603,,,,,0.00,delivered
RESP_000010,CAMP005,1060,2025-10-05 03:09:02.114037,2025-10-05 03:17:44.010355,,,,,0.00,delivered
RESP_000011,CAMP001,4183,2025-07-19 20:28:14.547959,2025-07-19 21:16:24.59641,,,,,0.00,delivered
RESP_000012,CAMP002,4183,2025-08-08 19:57:52.193712,2025-08-08 21:01:38.06821,,,,,0.00,delivered
RESP_000013,CAMP003,4183,2025-08-28 03:49:03.285031,2025-08-28 05:25:09.571521,2025-08-29 11:51:42.691317,,,,0.00,opened
RESP_000014,CAMP004,4183,2025-09-15 01:38:52.585289,2025-09-15 02:49:17.538848,,,,,0.00,delivered
RESP_000015,CAMP005,4183,2025-10-05 03:09:02.114037,2025-10-05 03:58:18.854231,,,,,0.00,delivered
RESP_000016,CAMP001,439,2025-07-19 20:28:14.547959,2025-07-19 21:51:11.209959,,,,,0.00,delivered
RESP_000017,CAMP002,439,2025-08-08 19:57:52.193712,2025-08-08 21:27:30.566155,,,,,0.00,delivered
RESP_000018,CAMP003,439,2025-08-28 03:49:03.285031,2025-08-28 04:55:37.752421,,,,,0.00,delivered
RESP_000019,CAMP004,439,2025-09-15 01:38:52.585289,2025-09-15 02:15:41.222264,,,,,0.00,delivered
RESP_000020,CAMP005,439,2025-10-05 03:09:02.114037,2025-10-05 03:57:29.996739,2025-10-05 17:19:30.24908,,,,0.00,opened
RESP_000021,CAMP001,1443,2025-07-19 20:28:14.547959,2025-07-19 21:41:33.848078,,,,,0.00,delivered
RESP_000022,CAMP002,1443,2025-08-08 19:57:52.193712,2025-08-08 21:34:17.541318,,,,,0.00,delivered
RESP_000023,CAMP003,1443,2025-08-28 03:49:03.285031,2025-08-28 05:38:41.241975,,,,,0.00,delivered
RESP_000024,CAMP004,1443,2025-09-15 01:38:52.585289,2025-09-15 02:33:33.215359,,,,,0.00,delivered
RESP_000025,CAMP005,1443,2025-10-05 03:09:02.114037,,,,,,0.00,bounced
RESP_000026,CAMP001,2552,2025-07-19 20:28:14.547959,2025-07-19 22:07:53.04077,,,,,0.00,delivered
RESP_000027,CAMP002,2552,2025-08-08 19:57:52.193712,2025-08-08 20:27:18.764091,2025-08-09 05:18:31.228942,,,,0.00,opened
RESP_000028,CAMP003,2552,2025-08-28 03:49:03.285031,2025-08-28 04:22:01.522736,,,,,0.00,delivered
RESP_000029,CAMP004,2552,2025-09-15 01:38:52.585289,2025-09-15 03:32:34.775583,2025-09-16 03:05:19.301817,,,,0.00,opened
RESP_000030,CAMP005,2552,2025-10-05 03:09:02.114037,2025-10-05 03:19:24.186213,,,,,0.00,delivered
RESP_000031,CAMP001,4255,2025-07-19 20:28:14.547959,2025-07-19 21:11:39.096212,,,,,0.00,delivered
RESP_000032,CAMP002,4255,2025-08-08 19:57:52.193712,2025-08-08 20:35:17.136244,,,,,0.00,delivered
