category_id,category_name,created_at,description,is_seasonal,parent_category_id,typical_margin_percentage
1,Womens Clothing,2023-03-02 01:46:28,City usually ever pressure economy. Professor power appear personal rise sense.,True,,0.36
2,Bottoms,2023-07-08 10:08:11,Him spend themselves political. Attention none particular clearly.,False,1,0.19
3,Tops,2024-01-04 23:14:50,Onto add democratic. We huge expert Republican.,True,1,0.17
4,Mens Clothing,2023-04-03 19:43:22,Break partner area program price compare. Remain reduce clearly.,True,,0.33
5,Pants,2023-10-27 15:57:15,Matter note happy effort. Thus purpose boy scientist. Analysis television each.,True,4,0.17
6,Accessories,2022-10-31 14:27:39,Theory tend similar financial. Network account customer nor. Science drug happy will young.,True,,0.22
7,Jewelry,2024-07-16 08:54:31,Day work information which. Republican behavior TV today.,True,6,0.3
8,Footwear,2023-03-02 09:07:38,Board black last finish building group show later. Enter build citizen rather step recent American.,False,,0.35
9,Formal,2023-01-05 10:59:55,Head piece popular old else spend. Young cup position.,True,8,0.37
10,Activewear,2023-06-27 20:16:13,Every land chance pass. Early far include nearly article evidence case current.,False,,0.22
11,Running,2024-05-22 15:17:43,Speak line group once. Wind beyond prevent entire staff.,True,10,0.18
12,Yoga,2024-09-04 20:06:43,Against only true similar. Team whether health walk how big few. Wish run join police.,False,10,0.26
