interaction_id,customer_id,interaction_date,channel,interaction_type,category,priority,subject_line,conversation_text,related_order_id,resolution_type,satisfaction_score,resolution_time_hours,agent_id,escalated,sentiment_score,keywords_extracted,follow_up_needed,interaction_cost
CS_000001,1784,2025-08-22 21:42:34.362599,phone,complaint,payment,low,Need help with size exchange,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,2254,,,,,f,,,f,
CS_000002,2163,2025-05-12 04:59:59.935551,phone,complaint,payment,low,Return label request,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,2926,,,,,f,,,f,
CS_000003,958,2025-07-30 12:51:19.582056,email,compliment,returns,low,Dress size doesn't fit as expected,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,11903,,,,,f,,,f,
CS_000004,3127,2025-06-18 00:40:00.486129,phone,return_request,delivery,low,Size chart confusion,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,11539,,,,,f,,,f,
CS_000005,716,2025-08-26 22:03:57.066274,phone,compliment,delivery,low,Quality concern with recent purchase,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000006,4868,2025-07-13 07:15:49.867131,email,compliment,delivery,medium,Size chart confusion,Customer inquiring about delivery status for recent order. Provided tracking information and expected delivery date. Package is in transit and on schedule. Customer satisfied with update and tracking details provided.,,,,,,f,,,f,
CS_000007,4615,2025-07-24 04:23:32.440972,live_chat,complaint,sizing,low,Charge dispute,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,9368,,,,,f,,,f,
CS_000008,405,2025-09-18 10:53:39.868999,email,inquiry,quality,low,Exchange request,Customer inquiring about delivery status for recent order. Provided tracking information and expected delivery date. Package is in transit and on schedule. Customer satisfied with update and tracking details provided.,,,,,,f,,,f,
CS_000009,2224,2025-08-06 00:17:31.206283,phone,return_request,delivery,low,Size recommendation for dress,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000010,2953,2025-06-12 15:17:53.737172,phone,inquiry,quality,medium,Package delivery delay,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,6621,,,,,f,,,f,
CS_000011,4451,2025-05-24 13:32:15.1291,email,complaint,sizing,low,Quality concern with recent purchase,Customer inquiring about delivery status for recent order. Provided tracking information and expected delivery date. Package is in transit and on schedule. Customer satisfied with update and tracking details provided.,1029,,,,,f,,,f,
CS_000012,102,2025-08-23 04:49:26.04176,email,inquiry,sizing,low,Delivery tracking update needed,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,,,,,,f,,,f,
