activity_id,customer_id,activity_type,activity_date,points_earned,points_redeemed,description,related_order_id,expiry_date
LA-001,1,PURCHASE_POINTS,2024-01-15 10:30:00,250,0,Points earned from purchase,,2025-01-15
LA-002,2,PURCHASE_POINTS,2024-01-16 14:20:00,180,0,Points earned from purchase,,2025-01-16
LA-003,3,PURCHASE_POINTS,2024-01-20 16:45:00,320,0,Points earned from purchase,,2025-01-20
LA-004,4,PURCHASE_POINTS,2024-02-01 11:15:00,150,0,Points earned from purchase,,2025-02-01
LA-005,5,PURCHASE_POINTS,2024-02-05 13:30:00,280,0,Points earned from purchase,,2025-02-05
LA-006,3,REDEMPTION,2024-02-10 13:45:00,0,100,Points redeemed for $10 discount,,
LA-007,1,REDEMPTION,2024-02-15 16:20:00,0,200,Points redeemed for free shipping,,
LA-008,5,REDEMPTION,2024-02-20 12:10:00,0,150,Points redeemed for product discount,,
LA-009,2,REDEMPTION,2024-03-01 14:55:00,0,250,Points redeemed for exclusive item,,
LA-010,4,BIRTHDAY_BONUS,2024-03-01 00:00:00,500,0,Birthday bonus points,,2025-03-01
LA-011,7,BIRTHDAY_BONUS,2024-04-15 00:00:00,500,0,Birthday bonus points,,2025-04-15
LA-012,10,BIRTHDAY_BONUS,2024-05-20 00:00:00,500,0,Birthday bonus points,,2025-05-20
LA-013,5,REFERRAL_BONUS,2024-03-20 12:00:00,300,0,Referral bonus points for inviting friend,,2025-03-20
LA-014,1,REFERRAL_BONUS,2024-04-10 15:30:00,300,0,Referral bonus points for successful referral,,2025-04-10
LA-015,8,REFERRAL_BONUS,2024-05-05 09:45:00,300,0,Referral bonus points for new member signup,,2025-05-05
LA-016,2,TIER_UPGRADE,2024-04-01 00:00:00,1000,0,Tier upgrade bonus - Silver to Gold,,2025-04-01
LA-017,6,TIER_UPGRADE,2024-05-15 00:00:00,2000,0,Tier upgrade bonus - Gold to Platinum,,2025-05-15
LA-018,3,SPECIAL_PROMOTION,2024-03-15 10:00:00,400,0,Double points weekend promotion,,2025-03-15
LA-019,9,SPECIAL_PROMOTION,2024-04-20 14:30:00,350,0,Spring sale bonus points,,2025-04-20
LA-020,11,SPECIAL_PROMOTION,2024-05-01 16:15:00,450,0,May Day flash bonus,,2025-05-01
LA-021,4,REVIEW_BONUS,2024-03-25 11:20:00,100,0,Product review bonus points,,2025-03-25
LA-022,7,REVIEW_BONUS,2024-04-12 13:40:00,100,0,Product review bonus points,,2025-04-12
LA-023,12,REVIEW_BONUS,2024-05-08 15:25:00,100,0,Product review bonus points,,2025-05-08
LA-024,13,SIGN_UP_BONUS,2024-01-10 09:00:00,200,0,Welcome bonus for new member,,2025-01-10
LA-025,14,SIGN_UP_BONUS,2024-02-20 11:30:00,200,0,Welcome bonus for new member,,2025-02-20
LA-026,15,SIGN_UP_BONUS,2024-03-10 14:15:00,200,0,Welcome bonus for new member,,2025-03-10
LA-027,6,SOCIAL_BONUS,2024-04-05 16:45:00,150,0,Social media follow bonus,,2025-04-05
LA-028,8,SOCIAL_BONUS,2024-04-25 12:30:00,150,0,Instagram share bonus,,2025-04-25
LA-029,1,ANNIVERSARY_BONUS,2024-05-15 00:00:00,750,0,One-year membership anniversary bonus,,2025-05-15
LA-030,2,ANNIVERSARY_BONUS,2024-06-01 00:00:00,750,0,One-year membership anniversary bonus,,2025-06-01
