customer_id,tier_level,points_balance,points_lifetime,tier_start_date,next_tier_threshold,birthday_month,anniversary_date,preferred_categories,communication_preferences,vip_status,last_tier_review
1,bronze,1900,5432,2024-04-03,1000,7,2022-09-25,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-09
2,bronze,3617,11820,2024-02-27,1000,10,2024-09-22,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-24
3,bronze,176,8151,2024-04-26,1000,12,2023-04-26,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-20
4,bronze,2858,7139,2024-05-17,1000,5,2022-06-30,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-12
5,silver,3006,2323,2024-10-17,2000,4,2022-06-03,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-20
6,bronze,2529,5255,2024-08-03,1000,2,2021-12-30,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-01-06
7,bronze,3677,3372,2024-05-20,1000,10,2023-05-16,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-06
8,bronze,3299,6928,2024-02-09,1000,12,2022-10-16,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-04
9,bronze,574,3033,2024-08-05,1000,11,2023-02-02,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-26
10,gold,2089,7131,2024-02-09,5000,12,2023-02-20,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-12
11,bronze,2661,2983,2024-08-01,1000,3,2024-11-10,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-09
12,bronze,598,4359,2024-06-27,1000,3,2022-10-01,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-11
13,bronze,1644,5744,2024-03-10,1000,13,2022-12-11,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-12
14,bronze,2027,6797,2024-09-16,1000,6,2022-11-06,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-12
15,silver,1085,2056,2024-08-22,2000,11,2022-04-21,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-14
16,bronze,2169,13299,2024-09-11,1000,9,2022-06-06,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-15
17,bronze,3835,13559,2024-03-26,1000,7,2023-04-12,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-01
18,bronze,3229,18,2024-01-18,1000,10,2023-12-10,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-02-13
19,bronze,4929,7624,2024-05-06,1000,5,2023-09-16,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-16
20,platinum,1329,12787,2024-06-22,10000,1,2024-02-05,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-24
21,bronze,4357,8706,2024-10-22,1000,3,2023-09-18,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-07
22,bronze,2475,6419,2024-07-07,1000,9,2022-07-21,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-24
23,bronze,144,14877,2024-04-08,1000,7,2022-03-20,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-01
24,bronze,2663,14575,2024-02-17,1000,5,2022-02-02,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-19
25,silver,2326,5427,2024-02-14,2000,7,2022-04-04,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-09
26,bronze,3206,9618,2024-03-28,1000,7,2023-06-11,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-01-20
27,bronze,930,6192,2024-06-27,1000,1,2022-03-25,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-08
28,bronze,2617,1144,2024-09-01,1000,10,2024-02-14,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-08
29,bronze,349,7160,2024-02-05,1000,8,2022-09-29,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-12
30,gold,4321,5194,2024-09-01,5000,7,2023-04-18,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-19
31,bronze,582,8828,2024-03-25,1000,2,2024-03-03,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-12
32,bronze,4063,3085,2024-06-14,1000,12,2023-08-24,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-24
33,bronze,2085,4119,2024-06-16,1000,3,2024-03-16,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-06
34,bronze,3182,11269,2024-03-18,1000,6,2022-02-28,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-15
35,silver,4076,7759,2024-02-14,2000,7,2022-06-04,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-08
36,bronze,278,1539,2024-05-07,1000,12,2024-04-27,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-03-23
