order_item_id,order_id,product_id,sku,size,color,quantity,unit_price,total_price,final_price,discount_applied,gift_wrap,personalization
1,1,P000649,SKU000649V2903,XS,Beige,1,24.07,24.07,24.07,0,False,
2,1,P000457,SKU000457V2049,L,Brown,1,24.07,24.07,24.07,1.09,False,
3,1,P000003,SKU000003V013,XL,Brown,2,12.04,24.08,24.08,0,False,
4,2,P000638,SKU000638V2851,XS,Gray,1,31.46,31.46,31.46,0,False,
5,3,P000388,SKU000388V1750,XXL,White,1,14.09,14.09,14.09,0,False,
6,3,P000666,SKU000666V2971,M,Pink,1,14.09,14.09,14.09,0,False,
7,3,P000398,SKU000398V1794,S,Beige,1,14.09,14.09,14.09,0,False,Really approach.
8,3,P000535,SKU000535V2391,L,White,1,14.09,14.09,14.09,0.14,False,
9,4,P000609,SKU000609V2721,L,Red,1,51.15,51.15,51.15,0,False,
10,5,P000569,SKU000569V2540,L,Beige,1,14.71,14.71,14.71,0,False,
11,5,P000048,SKU000048V221,XXL,Navy,1,14.71,14.71,14.71,0,False,
12,5,P000435,SKU000435V1960,S,Beige,1,14.71,14.71,14.71,0,False,
13,5,P000016,SKU000016V075,XL,Navy,1,14.71,14.71,14.71,0,False,
14,6,P000433,SKU000433V1955,M,Green,1,52.09,52.09,52.09,0,False,
15,7,P000510,SKU000510V2278,S,Brown,1,35.83,35.83,35.83,2.54,False,
16,8,P000504,SKU000504V2249,S,Navy,1,11.55,11.55,11.55,0,False,
17,8,P000150,SKU000150V662,XS,Brown,1,11.55,11.55,11.55,0,False,
18,8,P000645,SKU000645V2889,XS,Navy,1,11.55,11.55,11.55,0,False,
19,8,P000015,SKU000015V066,S,Pink,1,11.55,11.55,11.55,0,False,
20,9,P000263,SKU000263V1177,S,Red,1,69.74,69.74,69.74,0,False,
21,10,P000100,SKU000100V456,L,Green,1,27.43,27.43,27.43,2.47,False,
22,10,P000613,SKU000613V2739,M,Navy,1,27.43,27.43,27.43,0,False,
23,11,P000128,SKU000128V573,XL,Brown,1,50.13,50.13,50.13,0,False,
24,12,P000530,SKU000530V2372,XL,Brown,1,13.45,13.45,13.45,0,False,
25,12,P000403,SKU000403V1818,M,Red,1,13.45,13.45,13.45,0.84,False,
26,12,P000005,SKU000005V021,XXL,Red,1,13.45,13.45,13.45,0,False,
27,13,P000276,SKU000276V1237,S,Green,1,19.2,19.2,19.2,1.68,False,
28,13,P000457,SKU000457V2050,S,Beige,1,19.2,19.2,19.2,0,False,
29,13,P000038,SKU000038V178,XL,Red,1,19.2,19.2,19.2,0,False,
30,14,P000663,SKU000663V2961,L,Red,1,18.8,18.8,18.8,0,False,
31,14,P000562,SKU000562V2512,XXL,Red,1,18.8,18.8,18.8,0,False,Study performance parent.
32,14,P000574,SKU000574V2559,L,Beige,1,18.8,18.8,18.8,0,False,
33,14,P000032,SKU000032V152,XS,Pink,2,9.4,18.8,18.8,0,False,
34,15,P000467,SKU000467V2089,M,Red,1,18.02,18.02,18.02,0,False,
35,15,P000628,SKU000628V2807,M,Gray,1,18.02,18.02,18.02,0,False,
36,15,P000113,SKU000113V510,M,White,1,18.02,18.02,18.02,0.57,False,
37,15,P000311,SKU000311V1401,M,Blue,1,18.02,18.02,18.02,1.7,False,
38,16,P000610,SKU000610V2726,M,Brown,1,59.45,59.45,59.45,0,False,
39,17,P000620,SKU000620V2775,XS,Pink,1,31.25,31.25,31.25,0,False,
40,17,P000045,SKU000045V207,XXL,Black,2,15.62,31.24,31.24,2.4,False,
41,18,P000272,SKU000272V1221,XXL,Brown,1,19.64,19.64,19.64,0,False,
42,18,P000066,SKU000066V303,XXL,Blue,1,19.64,19.64,19.64,0,False,
43,18,P000698,SKU000698V3123,XXL,Red,1,19.64,19.64,19.64,0,False,
44,18,P000244,SKU000244V1097,M,Brown,1,19.64,19.64,19.64,0,False,
45,19,P000497,SKU000497V2217,XS,Green,1,17.63,17.63,17.63,0.88,False,
46,19,P000197,SKU000197V871,XXL,Red,1,17.63,17.63,17.63,0,False,
