order_id,customer_id,order_date,order_status,total_amount,subtotal_amount,tax_amount,shipping_amount,discount_amount,payment_method,currency,channel,device_type,shipping_method,is_first_order,promo_code,store_location,utm_source,utm_campaign,created_at,updated_at
1,3299,2024-06-14 22:37:19,delivered,72.22,65.0,5.78,1.83,0,credit_card,USD,mobile,mobile,pickup,False,,,direct,,2024-06-14 22:37:19,2024-12-06 15:02:04
2,4061,2024-11-22 17:57:23,delivered,31.46,28.31,2.52,2.1,0,credit_card,USD,store,tablet,pickup,False,,,facebook,,2024-11-22 17:57:23,2025-02-22 02:53:52
3,1438,2023-11-02 07:24:55,delivered,56.37,50.73,4.51,3.03,0,credit_card,USD,store,mobile,pickup,False,,,google,campaign_GSZ,2023-11-02 07:24:55,2025-08-13 14:21:31
4,1613,2024-05-22 06:57:29,delivered,51.15,46.04,4.09,5.74,0,paypal,USD,store,mobile,standard,True,,,facebook,campaign_ofW,2024-05-22 06:57:29,2025-07-03 12:09:10
5,1833,2023-10-17 11:54:03,delivered,58.83,52.95,4.71,0.65,0,paypal,USD,store,tablet,pickup,False,,,facebook,campaign_eav,2023-10-17 11:54:03,2024-01-26 15:00:55
6,4912,2025-03-26 05:45:47,returned,52.09,46.88,4.17,13.63,0,credit_card,USD,store,desktop,express,False,PROMOIgEq,East Michaelstad,email,campaign_Yuq,2025-03-26 05:45:47,2025-09-19 01:11:21
7,3522,2025-04-01 20:08:54,delivered,35.83,32.25,2.87,5.11,0,credit_card,USD,store,tablet,express,False,,,direct,,2025-04-01 20:08:54,2025-06-22 21:28:06
8,1535,2023-12-03 21:01:09,delivered,46.2,41.58,3.7,8.18,4.66,credit_card,USD,mobile,tablet,pickup,False,PROMOwYhL,,email,,2023-12-03 21:01:09,2023-12-21 13:14:23
9,3049,2024-01-14 20:14:35,delivered,69.74,62.77,5.58,4.38,0,paypal,USD,web,mobile,express,False,,,,,2024-01-14 20:14:35,2024-09-04 13:58:16
10,2011,2025-02-21 08:53:38,delivered,54.86,49.37,4.39,13.08,8.21,credit_card,USD,web,desktop,pickup,False,,,,,2025-02-21 08:53:38,2025-05-14 09:18:55
11,1857,2024-03-04 17:51:35,delivered,50.13,45.12,4.01,2.12,0,credit_card,USD,store,mobile,overnight,False,,,,,2024-03-04 17:51:35,2024-07-31 08:41:51
12,3574,2025-07-31 03:18:46,delivered,40.34,36.3,3.23,12.44,2.98,credit_card,USD,mobile,desktop,overnight,False,,,instagram,,2025-07-31 03:18:46,2025-09-15 05:13:21
13,3063,2025-05-24 23:34:27,delivered,57.61,51.85,4.61,13.71,0,credit_card,USD,web,desktop,pickup,False,PROMOvcDd,,,,2025-05-24 23:34:27,2025-08-18 00:45:15
14,1141,2023-11-13 15:19:33,cancelled,75.19,67.67,6.02,10.6,0,credit_card,USD,web,mobile,standard,False,,,,campaign_LAy,2023-11-13 15:19:33,2024-01-06 07:25:32
15,2070,2025-04-24 02:35:02,delivered,72.08,64.87,5.77,10.38,14.37,credit_card,USD,phone,mobile,pickup,True,,,google,,2025-04-24 02:35:02,2025-05-22 08:20:18
16,668,2025-01-30 14:21:41,delivered,59.45,53.51,4.76,0.43,0,paypal,USD,mobile,tablet,pickup,False,,,facebook,,2025-01-30 14:21:41,2025-03-26 10:01:24
17,4377,2024-03-30 03:29:40,delivered,62.5,56.25,5.0,11.5,10.89,paypal,USD,mobile,tablet,overnight,False,PROMODcrl,,,campaign_njI,2024-03-30 03:29:40,2025-04-26 01:17:37
18,3836,2025-01-30 23:41:11,delivered,78.54,70.69,6.28,9.73,14.6,paypal,USD,mobile,mobile,express,False,,,email,,2025-01-30 23:41:11,2025-04-04 23:48:38
19,4720,2024-10-01 02:09:26,delivered,70.53,63.48,5.64,2.13,10.59,credit_card,USD,web,mobile,express,False,,Lake Jonathan,email,campaign_cRu,2024-10-01 02:09:26,2025-04-21 07:55:09
20,3462,2024-05-25 17:11:20,delivered,80.08,72.07,6.41,14.28,0,paypal,USD,web,desktop,express,False,,,google,campaign_pdj,2024-05-25 17:11:20,2024-10-16 23:38:10
21,1719,2024-05-10 15:57:33,delivered,39.88,35.89,3.19,7.18,0,bnpl,USD,phone,desktop,express,True,,South Amberside,,campaign_yiU,2024-05-10 15:57:33,2024-12-25 10:34:39
22,3836,2025-01-02 19:56:00,delivered,82.92,74.63,6.63,12.41,15.77,credit_card,USD,web,tablet,overnight,False,PROMOOemA,,,campaign_Yuk,2025-01-02 19:56:00,2025-06-08 15:56:17
23,35,2023-11-11 01:13:41,delivered,64.23,57.81,5.14,4.15,0,credit_card,USD,phone,mobile,express,False,PROMOQvjS,,,campaign_OJr,2023-11-11 01:13:41,2024-04-23 11:54:44
24,3425,2025-07-05 02:55:03,returned,83.7,75.33,6.7,5.62,0,credit_card,USD,store,desktop,standard,False,PROMOvELM,,instagram,campaign_FDe,2025-07-05 02:55:03,2025-08-10 13:48:21
25,4618,2025-02-22 00:19:13,delivered,46.53,41.88,3.72,1.34,0,credit_card,USD,web,tablet,pickup,False,,,,campaign_fGx,2025-02-22 00:19:13,2025-04-17 04:00:06
