variant_id,product_id,sku,size,color,additional_price,stock_quantity,weight_oz,created_at
1,P000001,SKU000001V001,M,Blue,12.72,499,6.63,2023-11-08 16:22:51
2,P000001,SKU000001V002,M,Beige,10.59,489,3.0,2025-07-05 19:32:57
3,P000001,SKU000001V003,S,Navy,15.29,316,11.78,2024-11-03 21:33:32
4,P000001,SKU000001V004,XL,Red,17.45,433,12.98,2024-05-15 16:13:18
5,P000001,SKU000001V005,M,Beige,13.71,362,6.71,2024-12-07 23:20:38
6,P000002,SKU000002V006,S,Black,2.74,154,6.85,2025-04-11 06:21:40
7,P000002,SKU000002V007,L,Blue,6.81,476,4.12,2025-03-05 22:34:12
8,P000002,SKU000002V008,S,Navy,10.07,435,4.45,2024-05-28 05:26:57
9,P000002,SKU000002V009,XL,Pink,13.79,497,8.83,2024-11-30 09:18:11
10,P000002,SKU000002V010,XL,Brown,14.05,420,3.48,2024-11-15 09:40:45
11,P000003,SKU000003V011,XS,White,16.38,482,2.23,2023-10-10 16:59:12
12,P000003,SKU000003V012,M,Beige,13.82,81,12.62,2024-03-05 22:20:37
13,P000003,SKU000003V013,XL,Brown,15.27,185,4.24,2024-12-17 15:31:19
14,P000003,SKU000003V014,M,Black,14.89,70,4.89,2025-03-11 14:34:16
15,P000003,SKU000003V015,XXL,Navy,13.76,167,3.63,2024-06-09 19:44:44
16,P000003,SKU000003V016,S,White,8.5,400,12.19,2025-06-08 04:28:07
17,P000004,SKU000004V017,XS,Green,15.15,31,4.55,2025-09-06 19:00:11
18,P000004,SKU000004V018,XS,Brown,11.86,250,3.55,2025-08-15 22:07:08
19,P000004,SKU000004V019,M,Black,1.32,351,2.13,2025-06-05 06:30:59
20,P000005,SKU000005V020,XS,Pink,4.11,471,4.6,2024-06-26 19:32:55
21,P000005,SKU000005V021,XXL,Red,0.59,84,13.0,2023-11-16 14:21:01
22,P000005,SKU000005V022,M,Pink,6.96,92,13.12,2024-01-20 03:17:42
23,P000006,SKU000006V023,XL,Pink,1.37,429,9.52,2024-05-01 00:12:13
24,P000006,SKU000006V024,XS,Brown,4.34,108,14.54,2025-07-10 04:33:49
25,P000006,SKU000006V025,S,Brown,0.09,381,3.28,2023-10-20 09:09:35
26,P000006,SKU000006V026,S,Brown,17.03,253,6.76,2024-06-15 14:18:33
27,P000007,SKU000007V027,L,White,3.62,191,14.76,2024-07-13 15:02:42
28,P000007,SKU000007V028,L,Gray,10.29,218,3.47,2025-01-24 19:03:31
29,P000007,SKU000007V029,M,White,9.32,276,3.77,2024-11-14 03:37:25
30,P000007,SKU000007V030,M,Beige,11.14,30,3.07,2025-07-11 11:37:54
31,P000008,SKU000008V031,XS,Blue,5.67,317,11.57,2024-02-02 01:56:43
32,P000008,SKU000008V032,XXL,Green,4.52,218,5.78,2024-12-12 15:55:09
33,P000008,SKU000008V033,L,Gray,17.14,468,12.93,2025-01-08 14:54:46
34,P000008,SKU000008V034,L,Red,3.59,355,8.39,2024-07-24 18:05:30
35,P000008,SKU000008V035,XS,Blue,8.76,347,10.79,2024-02-18 17:02:45
36,P000008,SKU000008V036,XS,Navy,7.9,365,9.68,2024-12-31 11:13:50
37,P000009,SKU000009V037,XXL,Navy,1.29,111,6.4,2023-12-25 22:11:30
38,P000009,SKU000009V038,XL,Blue,2.46,439,7.52,2025-07-28 17:14:40
39,P000009,SKU000009V039,L,Beige,15.3,402,9.56,2025-05-25 19:59:52
40,P000010,SKU000010V040,XXL,Blue,7.12,351,9.84,2025-05-01 21:46:29
41,P000010,SKU000010V041,L,Green,10.23,85,11.98,2024-05-22 14:49:55
42,P000010,SKU000010V042,XS,White,5.01,264,5.0,2025-03-26 23:09:52
43,P000010,SKU000010V043,S,Black,1.99,37,12.79,2025-07-23 10:57:50
