return_id,order_id,customer_id,return_date,return_reason,return_status,refund_amount,refund_method,restocking_fee,return_method,condition_received,processed_by,created_at
RET151Y4850,12603,2120,2024-08-24 23:28:32,other,approved,55.32,original_payment,2.75,mail,new,Misty Reed,2024-08-24 23:28:32
RETCE9CDMMB,7349,561,2024-07-18 06:53:23,fit,pending,80.92,original_payment,12.26,mail,fair,Aaron Snyder,2024-07-18 06:53:23
RETHL6PSGI7,1306,2885,2025-07-07 00:11:57,changed_mind,pending,36.56,original_payment,3.02,mail,new,Jonathan Garcia,2025-07-07 00:11:57
RETO08AKFWG,10716,3771,2025-04-25 10:47:31,changed_mind,pending,43.14,original_payment,8.31,mail,good,Steven Wagner,2025-04-25 10:47:31
RET2C9UI27L,5829,680,2024-06-01 12:14:55,fit,pending,19.72,store_credit,0.91,mail,like_new,Whitney Burke,2024-06-01 12:14:55
RETN3W5TXTA,8587,2944,2024-04-14 21:47:06,other,pending,74.57,store_credit,9.04,pickup,good,Christine Jordan,2024-04-14 21:47:06
RETX11PS72D,405,2813,2025-09-04 14:55:11,changed_mind,approved,30.32,store_credit,13.81,mail,poor,Eric Medina,2025-09-04 14:55:11
RETILEG300C,1778,3685,2024-07-10 14:52:57,other,completed,32.21,store_credit,12.08,pickup,poor,Michael Hurst,2024-07-10 14:52:57
RET3PCS3LVK,2991,1629,2025-07-23 01:35:46,fit,pending,31.64,original_payment,11.97,store,good,Raymond Morton,2025-07-23 01:35:46
RETRGH7YTPN,7370,431,2025-05-18 03:21:46,changed_mind,pending,31.27,store_credit,7.23,mail,fair,Jordan Lowe,2025-05-18 03:21:46
RETQFDEDZWL,8145,614,2024-05-04 21:31:01,changed_mind,approved,36.21,original_payment,14.77,pickup,good,Gabrielle Vargas,2024-05-04 21:31:01
RET1RPCNOI2,7799,4404,2025-04-19 07:45:30,fit,completed,73.88,store_credit,6.13,mail,fair,Jennifer Mcdonald,2025-04-19 07:45:30
RETMC8RDBPF,1048,1541,2025-07-31 13:13:25,defective,processed,47.21,store_credit,5.16,store,like_new,Jonathan Harding,2025-07-31 13:13:25
RET0MVGHC3A,5836,3994,2025-02-21 01:02:11,fit,approved,33.74,original_payment,0.74,store,new,Wayne Mays,2025-02-21 01:02:11
RET2E1KQJPN,319,1456,2024-06-28 17:30:01,changed_mind,approved,57.55,store_credit,8.16,store,good,Alan Allen,2024-06-28 17:30:01
RETFP10OJCZ,7698,163,2025-05-04 23:47:37,fit,approved,37.47,original_payment,13.43,store,poor,Scott Martin,2025-05-04 23:47:37
RETA6757IEM,105,2395,2024-05-22 04:19:30,other,completed,45.9,original_payment,1.02,pickup,like_new,Carolyn Floyd MD,2024-05-22 04:19:30
RETY2YDXSA1,28,876,2025-09-20 08:33:20,fit,approved,49.66,original_payment,7.31,store,fair,James Hansen,2025-09-20 08:33:20
RETXYUZ9JMR,10675,3963,2025-02-19 21:02:51,changed_mind,approved,37.57,store_credit,1.49,store,fair,Denise Brown,2025-02-19 21:02:51
RET8EIKKY3P,3481,335,2024-05-16 05:06:12,changed_mind,pending,64.55,original_payment,12.8,store,poor,Mark Taylor,2024-05-16 05:06:12
RET7HQAHROF,11852,1830,2025-09-24 20:32:11,defective,processed,38.75,original_payment,14.0,pickup,fair,Justin Hill,2025-09-24 20:32:11
RETEAIEUAGG,9949,997,2024-08-21 15:43:35,fit,completed,36.56,store_credit,10.14,store,good,Kelly Anderson,2024-08-21 15:43:35
RETE3ADWPMW,7056,95,2025-09-22 03:18:05,changed_mind,pending,43.62,original_payment,14.22,mail,new,Shelley Scott,2025-09-22 03:18:05
