mention_id,customer_id,platform,post_url,username,post_date,post_type,post_text,hashtags,mentions,engagement_count,follower_count,sentiment_score,brand_mentioned,products_tagged,influence_score,ugc_usage_rights,campaign_tagged
SMDIVUZZPQ,41906,TikTok,https://tiktok.com/@fashionista_maya/video/1499914,fashionista_maya,2025-02-07 17:52:12,Reel,Can''t get enough of this jewelry! Perfect for winter vibes ✨ #fashionista #styleinspo #style #fashionpost,#fashionista #styleinspo #style #fashionpost,@trendtribe,62,2824,0.62,Trend Tribe,P000282,43,True,
SM0T9NT3W5,10464,Twitter,https://twitter.com/chic_and_sleek/status/1728977,chic_and_sleek,2023-12-25 13:27:07,Comment,Street Smart never disappoints! This yoga is pure perfection 🔥 #ootd #style #trendy #lookbook #streetstyle,#ootd #style #trendy #lookbook #streetstyle,@streetsmart,3287,65392,-0.62,Street Smart,P000160,48,True,campaign_summer
SM2OC6UZHR,18966,Instagram,https://instagram.com/p/TIQJ7YHL1C3,outfit_obsessed,2023-10-19 12:19:29,Video,Styling my new yoga three different ways! Swipe to see ➡️ #styleinspo #outfit #streetstyle #instafashion #ootd #fashionpost,#styleinspo #outfit #streetstyle #instafashion #ootd #fashionpost,@fashionforward,20256,183667,-0.71,Fashion Forward,P000390,63,True,campaign_fall
SMTJXEPQ85,48957,Instagram,https://instagram.com/p/2PCN9T84AZY,fashion_guru_anna,2025-04-28 01:35:37,Reel,Can''t get enough of this yoga! Perfect for summer vibes ✨ #styling #style #fashionlover #fashion,#styling #style #fashionlover #fashion,@pureelegance,348,8019,0.94,Pure Elegance,P000371,32,True,
SMEN93IIUC,6974,Twitter,https://twitter.com/style_maven_kate/status/1326765,style_maven_kate,2024-04-30 17:00:31,Video,Just got my hands on the latest running from Chic Collection 2! Absolutely obsessed 😍 #fashionista #streetstyle #fashionlover #outfit,#fashionista #streetstyle #fashionlover #outfit,@chiccollection2,480,5889,0.63,Chic Collection 2,P000520,40,True,campaign_holiday
SMLSKRT05U,36032,Instagram,https://instagram.com/p/QICATVAZCCB,glamour_vibes,2024-04-07 07:12:20,Story,City Casual 2 never disappoints! This clothing is pure perfection 🔥 #trendy #styleinspo #fashionista #styling,#trendy #styleinspo #fashionista #styling,@citycasual2,185,3705,0.57,City Casual 2,P000622,36,False,campaign_spring
SMGQPKI7P5,43188,Facebook,https://facebook.com/chic_sarah/posts/4214348,chic_sarah,2024-03-21 11:02:25,Comment,Vintage Vibe 2 never disappoints! This clothing is pure perfection 🔥 #ootd #fashion #trendy,#ootd #fashion #trendy,@vintagevibe2,3402,66498,-0.8,Vintage Vibe 2,P000421,53,True,
SMLBR7TCS4,49386,Instagram,https://instagram.com/p/KZ02XRGHC0C,glamour_girl_23,2024-01-16 11:15:57,Post,Just got my hands on the latest yoga from Bold Basics 2! Absolutely obsessed 😍 #trendy #instafashion #styling #fashion #outfit #lookbook,#trendy #instafashion #styling #fashion #outfit #lookbook,@boldbasics2,20491,989921,0.19,Bold Basics 2,P000417,65,True,
SM755NF4ZW,37335,Instagram,https://instagram.com/p/YKL1CQ99CHJ,fashion_forward_lily,2025-04-24 02:54:32,Comment,This accessories is giving me life! Such amazing quality 💫 #fashionblogger #ootd #fashionpost #styleinspo #streetstyle,#fashionblogger #ootd #fashionpost #styleinspo #streetstyle,@sunsetstyles2,825,42271,-0.98,Sunset Styles 2,P000084,59,False,
SMSJ6BW3BM,6789,TikTok,https://tiktok.com/@fashion_guru_anna/video/5428914,fashion_guru_anna,2023-12-18 16:44:20,Story,City Casual 3 never disappoints! This jewelry is pure perfection 🔥 #fashionblogger #fashionista #outfitinspo #ootd,#fashionblogger #fashionista #outfitinspo #ootd,@citycasual3,2666,27601,0.27,City Casual 3,P000110,43,False,campaign_holiday
SMBN78BMYY,36155,Twitter,https://twitter.com/fashion_forward_lily/status/3138181,fashion_forward_lily,2025-03-08 16:40:59,Reel,City Casual never disappoints! This footwear is pure perfection 🔥 #fashionista #fashionblogger #fashion,#fashionista #fashionblogger #fashion,@citycasual,33028,839945,0.56,City Casual,P000010,77,False,
SMKC1MSY4L,49118,Instagram,https://instagram.com/p/NBQH7M35IXO,trendy_alex,2025-04-27 09:08:16,Post,This accessories is giving me life! Such amazing quality 💫 #fashion #outfit #styleinspo #streetstyle #trendy #fashionpost,#fashion #outfit #styleinspo #streetstyle #trendy #fashionpost,@boldbasics,2439,30257,-0.77,Bold Basics,P000167,67,False,campaign_fall
SMA7TZ0YNC,2508,TikTok,https://tiktok.com/@fashionista_maya/video/8315831,fashionista_maya,2025-08-23 01:31:23,Reel,This jewelry is giving me life! Such amazing quality 💫 #instafashion #outfitinspo #fashionblogger #style #trendy,#instafashion #outfitinspo #fashionblogger #style #trendy,@sunsetstyles3,355,2776,0.25,Sunset Styles 3,P000354,33,True,
SM80XKXWD8,19682,Instagram,https://instagram.com/p/O4KH2VLPYS2,outfit_obsessed,2024-11-26 16:27:34,Story,Found the perfect bottoms for date night! Link in bio 💕 #outfitinspo #fashionblogger #outfit #ootd #trendy #fashionpost,#outfitinspo #fashionblogger #outfit #ootd #trendy #fashionpost,@bellavista2,3033,76469,0.35,Bella Vista 2,P000419,61,True,
SMIXA11DPG,9657,TikTok,https://tiktok.com/@style_maven_kate/video/7705062,style_maven_kate,2023-12-06 14:44:52,Comment,This accessories is giving me life! Such amazing quality 💫 #lookbook #trendy #fashionpost,#lookbook #trendy #fashionpost,@modemoderne2,74229,1409790,-0.07,Mode Moderne 2,P000487,87,True,
SM0RJIW1SW,7954,Twitter,https://twitter.com/glamour_vibes/status/3670226,glamour_vibes,2024-12-31 17:40:07,Reel,Found the perfect activewear for date night! Link in bio 💕 #lookbook #outfitinspo #instafashion #styleinspo #fashionblogger,#lookbook #outfitinspo #instafashion #styleinspo #fashionblogger,@coastalchic3,13738,578634,-0.12,Coastal Chic 3,P000476,85,False,campaign_fall
SM48P0TVHH,20953,Instagram,https://instagram.com/p/HP6VZ41NAM1,fashion_forward_lily,2024-08-22 19:17:00,Video,Pure Elegance never disappoints! This footwear is pure perfection 🔥 #fashionista #styleinspo #ootd #style #trendy #lookbook,#fashionista #styleinspo #ootd #style #trendy #lookbook,@pureelegance,91,9849,-0.03,Pure Elegance,P000155,24,False,
SMEQBNHL1N,44509,Pinterest,https://pinterest.com/fashion_guru_anna/pin/8190929,fashion_guru_anna,2023-10-24 18:33:45,Video,Just got my hands on the latest clothing from Elite Edge! Absolutely obsessed 😍 #fashionlover #outfitinspo #lookbook,#fashionlover #outfitinspo #lookbook,@eliteedge,420,7624,-0.5,Elite Edge,P000479,25,True,
SM2FLU7U6N,49089,Instagram,https://instagram.com/p/WIRE8QJNV8Z,fashion_diary_emma,2023-10-23 05:33:03,Story,This footwear is giving me life! Such amazing quality 💫 #style #fashionlover #fashion,#style #fashionlover #fashion,@urbanthread3,8413,665621,-0.85,Urban Thread 3,P000230,71,True,campaign_fall
SM3D8W3ZP0,44844,Twitter,https://twitter.com/fashion_diary_emma/status/8047416,fashion_diary_emma,2023-12-11 20:41:47,Reel,Coastal Chic never disappoints! This yoga is pure perfection 🔥 #instafashion #fashionpost #streetstyle #style #fashionblogger,#instafashion #fashionpost #streetstyle #style #fashionblogger,@coastalchic,1491,88697,0.23,Coastal Chic,P000580,65,False,
SMZR1YXR2D,47909,Instagram,https://instagram.com/p/4GH2M5ZJA8D,fashionista_maya,2024-03-17 21:47:52,Story,Found the perfect pants for date night! Link in bio 💕 #lookbook #ootd #fashionlover #stylish #outfitinspo,#lookbook #ootd #fashionlover #stylish #outfitinspo,@modernmuse,2698,87656,-0.19,Modern Muse,P000252,50,True,
SM3KMKZEBB,38113,Instagram,https://instagram.com/p/L08YG0JV1V9,style_queen_jen,2024-03-28 19:12:14,Reel,Styling my new bottoms three different ways! Swipe to see ➡️ #fashionpost #streetstyle #styleinspo #stylish #fashionista #instafashion,#fashionpost #streetstyle #styleinspo #stylish #fashionista #instafashion,@coastalchic2,292,7046,0.39,Coastal Chic 2,P000544,37,True,
SMOVW1N6KV,49335,Instagram,https://instagram.com/p/ECRUYF38DIU,fashion_diary_emma,2024-10-26 14:35:45,Video,Just got my hands on the latest activewear from Style Studio 2! Absolutely obsessed 😍 #styling #stylish #lookbook #streetstyle #outfit,#styling #stylish #lookbook #streetstyle #outfit,@stylestudio2,102,9042,-0.39,Style Studio 2,P000013,47,True,
SMX7PTX63C,48503,Instagram,https://instagram.com/p/QVKIZZQY72W,fashionista_maya,2025-01-09 16:31:59,Story,Can''t get enough of this tops! Perfect for summer vibes ✨ #streetstyle #ootd #outfit,#streetstyle #ootd #outfit,@stylestudio,2202,23006,0.59,Style Studio,P000217,60,False,
SM84U89YJB,30717,TikTok,https://tiktok.com/@style_queen_jen/video/4840714,style_queen_jen,2023-10-20 16:45:24,Story,Styling my new running three different ways! Swipe to see ➡️ #lookbook #style #outfitinspo #fashion #trendy #streetstyle,#lookbook #style #outfitinspo #fashion #trendy #streetstyle,@fashionforward,24928,822131,-0.06,Fashion Forward,P000413,82,False,
SMK83TQLL8,11895,Pinterest,https://pinterest.com/fashion_forward_lily/pin/9312590,fashion_forward_lily,2024-12-09 00:27:24,Video,New pants haul from Modern Muse - which one should I style first? #styleinspo #trendy #streetstyle #instafashion #fashionpost #style,#styleinspo #trendy #streetstyle #instafashion #fashionpost #style,@modernmuse,375,8141,0.73,Modern Muse,P000504,46,True,
SM7PZE9VIF,35560,Pinterest,https://pinterest.com/trendsetter_mia/pin/3198037,trendsetter_mia,2024-03-02 12:41:34,Comment,This accessories is giving me life! Such amazing quality 💫 #styling #fashionpost #stylish #fashionlover #fashion,#styling #fashionpost #stylish #fashionlover #fashion,@streetsmart2,261,8569,-0.97,Street Smart 2,P000193,21,False,campaign_spring
SMN7S55J2O,30242,TikTok,https://tiktok.com/@trendsetter_mia/video/3426689,trendsetter_mia,2025-04-08 05:39:48,Comment,This footwear is giving me life! Such amazing quality 💫 #fashionblogger #trendy #instafashion #stylish #fashionlover,#fashionblogger #trendy #instafashion #stylish #fashionlover,@boldbasics2,381,2924,-0.47,Bold Basics 2,P000158,46,True,campaign_fall
SMXF8E8LD4,38466,Instagram,https://instagram.com/p/9IN4OLR6N92,fashion_diary_emma,2025-02-15 20:48:52,Post,Casual Friday calls for this comfy clothing - so versatile! #styleinspo #streetstyle #fashionblogger #fashionlover #instafashion #trendy,#styleinspo #streetstyle #fashionblogger #fashionlover #instafashion #trendy,@eliteedge2,48249,708093,0.05,Elite Edge 2,P000153,75,False,campaign_summer
SMPY6B2KNF,26869,Instagram,https://instagram.com/p/5BCW790PDW5,fashion_guru_anna,2025-03-27 19:44:08,Comment,Found the perfect footwear for date night! Link in bio 💕 #fashionlover #fashionpost #style #streetstyle #lookbook,#fashionlover #fashionpost #style #streetstyle #lookbook,@stylestudio,1764,95823,-0.18,Style Studio,P000481,42,True,campaign_spring
SM6YFPMVXP,39944,TikTok,https://tiktok.com/@glamour_vibes/video/8805654,glamour_vibes,2024-11-26 08:32:09,Reel,Styling my new bottoms three different ways! Swipe to see ➡️ #lookbook #fashionpost #fashionista #stylish,#lookbook #fashionpost #fashionista #stylish,@vintagevibe,2472,60140,-0.09,Vintage Vibe,P000598,55,False,campaign_holiday
SM60361I2H,31668,Facebook,https://facebook.com/outfit_obsessed/posts/1822825,outfit_obsessed,2024-08-20 22:30:24,Story,Styling my new yoga three different ways! Swipe to see ➡️ #outfitinspo #fashion #instafashion #fashionpost #trendy,#outfitinspo #fashion #instafashion #fashionpost #trendy,@coastalchic2,2443,23979,0.24,Coastal Chic 2,P000586,52,True,
SM2QC1IYYO,41122,Instagram,https://instagram.com/p/25NSJF678K5,chic_sarah,2024-03-19 07:24:05,Comment,Found the perfect activewear for date night! Link in bio 💕 #fashionista #style #styling #streetstyle #styleinspo,#fashionista #style #styling #streetstyle #styleinspo,@coastalchic,822,94717,-0.27,Coastal Chic,P000452,49,False,campaign_spring
SMNN8ZTV05,29805,Instagram,https://instagram.com/p/WQZXEBB9EIT,fashion_guru_anna,2024-09-12 23:57:14,Post,Style Studio never disappoints! This tops is pure perfection 🔥 #styleinspo #style #fashionpost #ootd #stylish #fashion,#styleinspo #style #fashionpost #ootd #stylish #fashion,@stylestudio,394,7038,0.67,Style Studio,P000689,43,False,
SMUC1HH5LF,18334,Instagram,https://instagram.com/p/GE4QXXVA2IE,fashion_forward_lily,2024-12-30 18:47:56,Comment,Elite Edge 2 never disappoints! This accessories is pure perfection 🔥 #stylish #instafashion #streetstyle #style #fashionpost #lookbook,#stylish #instafashion #streetstyle #style #fashionpost #lookbook,@eliteedge2,403,1536,-0.99,Elite Edge 2,P000223,31,True,
SMJEPECQNV,35404,Facebook,https://facebook.com/fashionista_maya/posts/3923366,fashionista_maya,2024-05-03 03:56:28,Video,This tops is giving me life! Such amazing quality 💫 #fashion #streetstyle #fashionlover #instafashion,#fashion #streetstyle #fashionlover #instafashion,@urbanthread,16435,362829,0.01,Urban Thread,P000677,63,True,
SMVDZ4X1ZH,43182,Instagram,https://instagram.com/p/CCVCJWTL9TQ,style_maven_kate,2025-06-19 18:58:04,Video,Found the perfect tops for date night! Link in bio 💕 #styling #instafashion #trendy,#styling #instafashion #trendy,@urbanthread,204,9543,0.78,Urban Thread,P000659,34,False,
SMDD03UVUL,29721,Twitter,https://twitter.com/style_queen_jen/status/2432176,style_queen_jen,2025-08-05 07:01:23,Post,Casual Friday calls for this comfy bottoms - so versatile! #fashionpost #styling #fashionista #streetstyle #outfit #lookbook,#fashionpost #styling #fashionista #streetstyle #outfit #lookbook,@bellavista2,262,7532,-0.18,Bella Vista 2,P000098,43,False,
SMMUEKIPU1,47256,Facebook,https://facebook.com/fashion_diary_emma/posts/2815603,fashion_diary_emma,2023-10-05 03:14:10,Comment,Casual Friday calls for this comfy pants - so versatile! #trendy #outfit #fashionpost,#trendy #outfit #fashionpost,@coastalchic2,23850,153945,0.23,Coastal Chic 2,P000320,79,True,
SMDTNQFLL7,43112,TikTok,https://tiktok.com/@trendy_alex/video/1514340,trendy_alex,2025-05-11 11:17:06,Comment,Found the perfect clothing for date night! Link in bio 💕 #fashionpost #streetstyle #fashion #outfit #fashionlover,#fashionpost #streetstyle #fashion #outfit #fashionlover,@fashionforward,22527,969752,-0.83,Fashion Forward,P000185,60,True,campaign_spring
SMYVSLH9BH,44170,Facebook,https://facebook.com/style_queen_jen/posts/5752087,style_queen_jen,2025-06-16 23:39:00,Story,City Casual 2 never disappoints! This formal is pure perfection 🔥 #lookbook #trendy #fashionista #ootd #fashionblogger #style,#lookbook #trendy #fashionista #ootd #fashionblogger #style,@citycasual2,189,2336,0.53,City Casual 2,P000678,34,False,campaign_spring
