issuer_id,issuer_name,issuer_country,primary_currency,created_at
ISS41223489,Summit Bank 1,USA,USD,2025-10-19T21:30:43.967027
ISS29485732,Regional Trust 2,USA,USD,2025-10-19T21:30:43.967036
ISS80326987,Prosperity Bank 3,USA,USD,2025-10-19T21:30:43.967039
ISS85640552,Liberty Bank 4,USA,USD,2025-10-19T21:30:43.967041
ISS49960995,Community Bank 5,USA,USD,2025-10-19T21:30:43.967043
ISS98138682,Community Bank 6,USA,EUR,2025-10-19T21:30:43.967045
ISS73679761,Metro Credit Union 7,USA,USD,2025-10-19T21:30:43.967047
ISS66237478,Capital Bank 8,USA,GBP,2025-10-19T21:30:43.967048
ISS53224093,Capital Bank 9,USA,EUR,2025-10-19T21:30:43.967049
ISS38223971,Metro Credit Union 10,USA,GBP,2025-10-19T21:30:43.967051
ISS67809575,Citizens Bank 11,USA,EUR,2025-10-19T21:30:43.967053
ISS62155720,Union Bank 12,USA,USD,2025-10-19T21:30:43.967054
ISS45425037,Heritage Financial 13,USA,EUR,2025-10-19T21:30:43.967055
ISS39529993,Heritage Financial 14,USA,GBP,2025-10-19T21:30:43.967057
ISS51516791,First National Bank 15,USA,EUR,2025-10-19T21:30:43.967058
ISS62554786,Regional Trust 16,USA,EUR,2025-10-19T21:30:43.967060
ISS66743187,Union Bank 17,USA,EUR,2025-10-19T21:30:43.967061
ISS95123675,First National Bank 18,USA,USD,2025-10-19T21:30:43.967063
ISS47106966,Regional Trust 19,USA,GBP,2025-10-19T21:30:43.967064
ISS75736513,Citizens Bank 20,USA,USD,2025-10-19T21:30:43.967065
ISS78427919,Heritage Financial 21,USA,USD,2025-10-19T21:30:43.967067
ISS13083886,Prosperity Bank 22,USA,USD,2025-10-19T21:30:43.967068
ISS27330982,Liberty Bank 23,USA,USD,2025-10-19T21:30:43.967070
ISS77029239,Union Bank 24,USA,USD,2025-10-19T21:30:43.967071
ISS53955772,Union Bank 25,USA,USD,2025-10-19T21:30:43.967072
