merchant_id,merchant_name,merchant_category_code,merchant_category_name,merchant_country,acquirer_id,annual_volume,risk_level,created_at
MER57949894,Petal Palace - Street #1,5193,FLORISTS,USA,ACQ12075350,1581694.54,LOW,2025-10-19T21:30:43.967246
MER18771374,Sports Center - Downtown #2,7941,SPORTS_RECREATION,USA,ACQ18467458,2984273.41,LOW,2025-10-19T21:30:43.967253
MER55885776,Tech Solutions - Street #3,5045,COMPUTERS,USA,ACQ18467458,4368406.96,LOW,2025-10-19T21:30:43.967258
MER75987745,Corner Tavern - Uptown #4,5813,BARS_TAVERNS,USA,ACQ70476569,106981.19,LOW,2025-10-19T21:30:43.967261
MER77660242,Computer World - Center #5,5045,COMPUTERS,USA,ACQ64694522,9574066.29,LOW,2025-10-19T21:30:43.967265
MER22706990,City Center - North #6,5311,DEPARTMENT_STORES,USA,ACQ82093695,829624.48,LOW,2025-10-19T21:30:43.967268
MER84856110,Quick Bites - West End #7,5814,FAST_FOOD,USA,ACQ30331290,1675081.02,LOW,2025-10-19T21:30:43.967271
MER99088556,Express Airways - Square #8,4511,AIRLINES,USA,ACQ89477570,4681289.38,LOW,2025-10-19T21:30:43.967274
MER87352844,Family Department - North #9,5311,DEPARTMENT_STORES,USA,ACQ15661235,7572998.48,LOW,2025-10-19T21:30:43.967277
MER63576068,Variety Shop - North #10,5999,MISC_RETAIL,USA,ACQ95976277,6552103.71,HIGH,2025-10-19T21:30:43.967280
MER83693179,Express Gas - Street #11,5541,GAS_STATIONS,USA,ACQ49890880,2901075.60,LOW,2025-10-19T21:30:43.967283
MER34624920,Express Airways - Street #12,4511,AIRLINES,USA,ACQ62715157,2247563.74,HIGH,2025-10-19T21:30:43.967286
MER99707616,Book Haven - East Side #13,5942,BOOKSTORES,USA,ACQ78716846,8286289.59,MEDIUM,2025-10-19T21:30:43.967289
MER32614248,General Store - West End #14,5999,MISC_RETAIL,USA,ACQ57403969,9825099.24,LOW,2025-10-19T21:30:43.967291
MER59613208,The Pub - Uptown #15,5813,BARS_TAVERNS,USA,ACQ13508397,7802733.96,LOW,2025-10-19T21:30:43.967295
MER27851808,Fast Eats - Uptown #16,5814,FAST_FOOD,USA,ACQ68711523,857348.12,HIGH,2025-10-19T21:30:43.967298
MER61115750,City Bus - South #17,4111,LOCAL_TRANSIT,USA,ACQ72696667,9111898.39,HIGH,2025-10-19T21:30:43.967301
MER10476787,Burger Joint - Center #18,5814,FAST_FOOD,USA,ACQ91436840,7407009.49,MEDIUM,2025-10-19T21:30:43.967304
MER27394501,General Store - Mall #19,5999,MISC_RETAIL,USA,ACQ75820573,2782554.32,LOW,2025-10-19T21:30:43.967308
MER82327329,Everything Plus - Center #20,5999,MISC_RETAIL,USA,ACQ78785655,4791113.71,MEDIUM,2025-10-19T21:30:43.967312
MER20935538,Corner Tavern - Uptown #21,5813,BARS_TAVERNS,USA,ACQ95976277,7419143.31,LOW,2025-10-19T21:30:43.967315
MER18512438,Tech Solutions - East Side #22,5045,COMPUTERS,USA,ACQ73495889,3741322.88,MEDIUM,2025-10-19T21:30:43.967318
MER56317300,Health Drugs - Center #23,5912,DRUG_STORES,USA,ACQ69956196,5560883.61,MEDIUM,2025-10-19T21:30:43.967321
MER49325119,City Bus - Center #24,4111,LOCAL_TRANSIT,USA,ACQ91436840,3451217.26,MEDIUM,2025-10-19T21:30:43.967324
MER16610238,Library Shop - Plaza #25,5942,BOOKSTORES,USA,ACQ14228164,2720849.17,MEDIUM,2025-10-19T21:30:43.967327
MER92913852,Metro Transit - South #26,4111,LOCAL_TRANSIT,USA,ACQ34975353,3362638.65,MEDIUM,2025-10-19T21:30:43.967329
MER54250112,Cinema Palace - West End #27,7832,MOVIE_THEATERS,USA,ACQ64544883,8748700.41,MEDIUM,2025-10-19T21:30:43.967332
MER84663365,Fresh Market - Plaza #28,5411,GROCERY_STORES,USA,ACQ82093695,5581784.56,HIGH,2025-10-19T21:30:43.967335
MER93061506,Luxury Suites - Mall #29,7011,HOTELS_MOTELS,USA,ACQ98286717,8791025.13,MEDIUM,2025-10-19T21:30:43.967338
MER45677283,Hair Studio - Mall #30,7230,BEAUTY_SALONS,USA,ACQ38881026,8095130.62,LOW,2025-10-19T21:30:43.967341
MER38608955,Library Shop - South #31,5942,BOOKSTORES,USA,ACQ70476569,8181360.92,LOW,2025-10-19T21:30:43.967345
MER39012762,Book Haven - Mall #32,5942,BOOKSTORES,USA,ACQ59528290,6149178.30,LOW,2025-10-19T21:30:43.967348
MER65017267,Computer World - Avenue #33,5045,COMPUTERS,USA,ACQ89178472,3300059.24,MEDIUM,2025-10-19T21:30:43.967351
MER57198012,Fitness Club - South #34,7941,SPORTS_RECREATION,USA,ACQ56538930,4276258.69,LOW,2025-10-19T21:30:43.967354
MER48206729,Flower Shop - North #35,5193,FLORISTS,USA,ACQ39709134,5189445.33,HIGH,2025-10-19T21:30:43.967357
MER52378894,Movie House - South #36,7832,MOVIE_THEATERS,USA,ACQ38881026,9713617.62,LOW,2025-10-19T21:30:43.967360
MER83491618,Fast Eats - West End #37,5814,FAST_FOOD,USA,ACQ96235091,7951182.40,HIGH,2025-10-19T21:30:43.967362
MER73902171,Variety Shop - Street #38,5999,MISC_RETAIL,USA,ACQ15503664,2375785.51,MEDIUM,2025-10-19T21:30:43.967365
MER48838376,Fast Eats - South #39,5814,FAST_FOOD,USA,ACQ30331290,1950092.23,HIGH,2025-10-19T21:30:43.967368
MER77221375,Beauty Spot - Street #40,7230,BEAUTY_SALONS,USA,ACQ40073549,247679.18,LOW,2025-10-19T21:30:43.967371
MER20005072,Comfort Shoes - Mall #41,5661,SHOE_STORES,USA,ACQ48253947,9381197.02,LOW,2025-10-19T21:30:43.967374
MER14801170,General Store - Downtown #42,5999,MISC_RETAIL,USA,ACQ80454677,5270428.59,HIGH,2025-10-19T21:30:43.967377
MER31778895,Sky Airlines - Street #43,4511,AIRLINES,USA,ACQ89350472,6195564.82,MEDIUM,2025-10-19T21:30:43.967380
MER41750059,Gadget Store - Center #44,5732,ELECTRONICS,USA,ACQ12075350,7180356.50,LOW,2025-10-19T21:30:43.967382
MER60683946,Beauty Spot - North #45,7230,BEAUTY_SALONS,USA,ACQ88727470,4675488.89,LOW,2025-10-19T21:30:43.967385
MER14330667,Computer World - Center #46,5045,COMPUTERS,USA,ACQ50716989,2028008.76,LOW,2025-10-19T21:30:43.967388
MER57892472,Express Airways - South #47,4511,AIRLINES,USA,ACQ94048168,6077991.36,HIGH,2025-10-19T21:30:43.967391
MER45485525,The Pub - Uptown #48,5813,BARS_TAVERNS,USA,ACQ69956196,2833381.75,MEDIUM,2025-10-19T21:30:43.967394
