File Name,Kind,Name,Description
"./auth/metadata/Users.hml","ObjectType","Users",""
"./auth/metadata/UpdateUsersById.hml","ObjectType","V2UpdateUsersByIdResponse","Responses from the 'v2_update_users_by_id' procedure"
"./auth/metadata/DeleteUsersById.hml","ObjectType","V2DeleteUsersByIdResponse","Responses from the 'v2_delete_users_by_id' procedure"
"./auth/metadata/InsertUsers.hml","ObjectType","V2InsertUsersResponse","Responses from the 'v2_insert_users' procedure"
"./network/metadata/UpdateTextsByTextid.hml","ObjectType","V2UpdateTextsByTextidResponse","Responses from the 'v2_update_texts_by_textid' procedure"
"./network/metadata/InsertCalls.hml","ObjectType","V2InsertCallsResponse","Responses from the 'v2_insert_calls' procedure"
"./network/metadata/DetailedUserActivityMv.hml","ObjectType","DetailedUserActivityMv",""
"./network/metadata/Texts.hml","ObjectType","Texts",""
"./network/metadata/DataUsage.hml","ObjectType","DataUsage",""
"./network/metadata/UpdateCallsByCallid.hml","ObjectType","V2UpdateCallsByCallidResponse","Responses from the 'v2_update_calls_by_callid' procedure"
"./network/metadata/DeleteTextsByTextid.hml","ObjectType","V2DeleteTextsByTextidResponse","Responses from the 'v2_delete_texts_by_textid' procedure"
"./network/metadata/NetworkPerformance.hml","ObjectType","NetworkPerformance",""
"./network/metadata/InsertTexts.hml","ObjectType","V2InsertTextsResponse","Responses from the 'v2_insert_texts' procedure"
"./network/metadata/Cdr.hml","ObjectType","Cdr",""
"./network/metadata/Calls.hml","ObjectType","Calls",""
"./network/metadata/DeleteCallsByCallid.hml","ObjectType","V2DeleteCallsByCallidResponse","Responses from the 'v2_delete_calls_by_callid' procedure"
"./support/metadata/UpdateDocumentEmbeddingsByDocumentUuid.hml","ObjectType","V2UpdateDocumentEmbeddingsByDocumentUuidResponse","Responses from the 'v2_update_document_embeddings_by_document_uuid' procedure"
"./support/metadata/DeleteDocumentsByUuid.hml","ObjectType","V2DeleteDocumentsByUuidResponse","Responses from the 'v2_delete_documents_by_uuid' procedure"
"./support/metadata/Documents.hml","ObjectType","Documents",""
"./support/metadata/DocumentEmbeddings.hml","ObjectType","DocumentEmbeddings",""
"./support/metadata/UpdateDocumentsByUuid.hml","ObjectType","V2UpdateDocumentsByUuidResponse","Responses from the 'v2_update_documents_by_uuid' procedure"
"./support/metadata/DeleteDocumentEmbeddingsByDocumentUuid.hml","ObjectType","V2DeleteDocumentEmbeddingsByDocumentUuidResponse","Responses from the 'v2_delete_document_embeddings_by_document_uuid' procedure"
"./support/metadata/InsertDocuments.hml","ObjectType","V2InsertDocumentsResponse","Responses from the 'v2_insert_documents' procedure"
"./support/metadata/UserProfiles.hml","ObjectType","UserProfiles","Object type for collection userProfiles"
"./support/metadata/InsertDocumentEmbeddings.hml","ObjectType","V2InsertDocumentEmbeddingsResponse","Responses from the 'v2_insert_document_embeddings' procedure"
"./customer/metadata-project-queries/CreditCards.hml","ObjectType","CreditCards",""
"./customer/metadata-project-queries/Billing.hml","ObjectType","Billing",""
"./customer/metadata-project-queries/Network.hml","ObjectType","Network",""
"./customer/metadata-project-queries/Customers.hml","ObjectType","Customers",""
"./customer/metadata-project-queries/CustomerLink.hml","ObjectType","CustomerLink",""
"./customer/metadata-project-queries/Deals.hml","ObjectType","Deals",""
"./customer/metadata-project-queries/Plans.hml","ObjectType","Plans",""
"./customer/metadata-project-queries/CustomerPlanDevices.hml","ObjectType","CustomerPlanDevices",""
"./customer/metadata-project-queries/Devices.hml","ObjectType","Devices",""
"./customer/metadata-project-queries/CustomerNetwork.hml","ObjectType","CustomerNetwork",""
"./customer/metadata-project-queries/CustomerPlans.hml","ObjectType","CustomerPlans",""
"./customer/metadata-project-mutations/DeleteNetworkByNodeId.hml","ObjectType","V2DeleteNetworkByNodeIdResponse","Responses from the 'v2_delete_network_by_node_id' procedure"
"./customer/metadata-project-mutations/DeleteBillingByBillingId.hml","ObjectType","V2DeleteBillingByBillingIdResponse","Responses from the 'v2_delete_billing_by_billing_id' procedure"
"./customer/metadata-project-mutations/InsertDevices.hml","ObjectType","V2InsertDevicesResponse","Responses from the 'v2_insert_devices' procedure"
"./customer/metadata-project-mutations/UpdateCustomerLinkById.hml","ObjectType","V2UpdateCustomerLinkByIdResponse","Responses from the 'v2_update_customer_link_by_id' procedure"
"./customer/metadata-project-mutations/InsertCustomerLink.hml","ObjectType","V2InsertCustomerLinkResponse","Responses from the 'v2_insert_customer_link' procedure"
"./customer/metadata-project-mutations/InsertCustomerNetwork.hml","ObjectType","V2InsertCustomerNetworkResponse","Responses from the 'v2_insert_customer_network' procedure"
"./customer/metadata-project-mutations/UpdateCustomerPlanDevicesByCustomerPlanIdAndDeviceId.hml","ObjectType","V2UpdateCustomerPlanDevicesByCustomerPlanIdAndDeviceIdResponse","Responses from the 'v2_update_customer_plan_devices_by_customer_plan_id_and_device_id' procedure"
"./customer/metadata-project-mutations/InsertCustomerPlanDevices.hml","ObjectType","V2InsertCustomerPlanDevicesResponse","Responses from the 'v2_insert_customer_plan_devices' procedure"
"./customer/metadata-project-mutations/DeleteCustomersByPhoneNumber.hml","ObjectType","V2DeleteCustomersByPhoneNumberResponse","Responses from the 'v2_delete_customers_by_phone_number' procedure"
"./customer/metadata-project-mutations/UpdateDealsByDealId.hml","ObjectType","V2UpdateDealsByDealIdResponse","Responses from the 'v2_update_deals_by_deal_id' procedure"
"./customer/metadata-project-mutations/DeleteCustomerLinkById.hml","ObjectType","V2DeleteCustomerLinkByIdResponse","Responses from the 'v2_delete_customer_link_by_id' procedure"
"./customer/metadata-project-mutations/InsertDeals.hml","ObjectType","V2InsertDealsResponse","Responses from the 'v2_insert_deals' procedure"
"./customer/metadata-project-mutations/UpdateCustomersByPhoneNumber.hml","ObjectType","V2UpdateCustomersByPhoneNumberResponse","Responses from the 'v2_update_customers_by_phone_number' procedure"
"./customer/metadata-project-mutations/DeleteCustomerPlanDevicesByCustomerPlanIdAndDeviceId.hml","ObjectType","V2DeleteCustomerPlanDevicesByCustomerPlanIdAndDeviceIdResponse","Responses from the 'v2_delete_customer_plan_devices_by_customer_plan_id_and_device_id' procedure"
"./customer/metadata-project-mutations/UpdateCustomersByCustomerId.hml","ObjectType","V2UpdateCustomersByCustomerIdResponse","Responses from the 'v2_update_customers_by_customer_id' procedure"
"./customer/metadata-project-mutations/InsertCreditCards.hml","ObjectType","V2InsertCreditCardsResponse","Responses from the 'v2_insert_credit_cards' procedure"
"./customer/metadata-project-mutations/UpdateCustomerNetworkByCustomerIdAndNodeId.hml","ObjectType","V2UpdateCustomerNetworkByCustomerIdAndNodeIdResponse","Responses from the 'v2_update_customer_network_by_customer_id_and_node_id' procedure"
"./customer/metadata-project-mutations/InsertPlans.hml","ObjectType","V2InsertPlansResponse","Responses from the 'v2_insert_plans' procedure"
"./customer/metadata-project-mutations/DeletePlansByPlanId.hml","ObjectType","V2DeletePlansByPlanIdResponse","Responses from the 'v2_delete_plans_by_plan_id' procedure"
"./customer/metadata-project-mutations/UpdatePlansByPlanName.hml","ObjectType","V2UpdatePlansByPlanNameResponse","Responses from the 'v2_update_plans_by_plan_name' procedure"
