acquirer_id,acquirer_name,acquirer_country,primary_currency,created_at
ACQ90073591,Enterprise Bank 1,USA,USD,2025-10-22T15:37:13.144413
ACQ16786748,Business Bank 2,USA,USD,2025-10-22T15:37:13.144415
ACQ92199302,Trade Finance Corp 3,USA,GBP,2025-10-22T15:37:13.144417
ACQ16134854,Enterprise Bank 4,USA,GBP,2025-10-22T15:37:13.144419
ACQ93095511,Commercial Bank 5,USA,GBP,2025-10-22T15:37:13.144420
ACQ95206264,Corporate Trust 6,USA,GBP,2025-10-22T15:37:13.144422
ACQ26762752,Commercial Bank 7,USA,USD,2025-10-22T15:37:13.144423
ACQ74154390,Merchant Services Inc 8,USA,USD,2025-10-22T15:37:13.144424
ACQ27025684,Business Bank 9,USA,USD,2025-10-22T15:37:13.144426
ACQ15607873,Global Payments 10,USA,GBP,2025-10-22T15:37:13.144427
ACQ82453506,Payment Processing Corp 11,USA,GBP,2025-10-22T15:37:13.144429
ACQ85091521,Payment Processing Corp 12,USA,USD,2025-10-22T15:37:13.144430
ACQ14812868,Payment Processing Corp 13,USA,USD,2025-10-22T15:37:13.144432
ACQ11966938,Trade Finance Corp 14,USA,USD,2025-10-22T15:37:13.144433
ACQ97463686,Corporate Trust 15,USA,GBP,2025-10-22T15:37:13.144434
ACQ42686261,Trade Finance Corp 16,USA,GBP,2025-10-22T15:37:13.144436
ACQ56204043,Corporate Trust 17,USA,USD,2025-10-22T15:37:13.144437
ACQ19092335,Commercial Bank 18,USA,EUR,2025-10-22T15:37:13.144439
ACQ84722524,Business Bank 19,USA,USD,2025-10-22T15:37:13.144440
ACQ68295546,Commercial Bank 20,USA,USD,2025-10-22T15:37:13.144442
ACQ83195410,Trade Finance Corp 21,USA,USD,2025-10-22T15:37:13.144443
ACQ59328743,Business Bank 22,USA,USD,2025-10-22T15:37:13.144445
ACQ55914095,Merchant Services Inc 23,USA,EUR,2025-10-22T15:37:13.144446
ACQ39208847,Trade Finance Corp 24,USA,USD,2025-10-22T15:37:13.144449
ACQ37193460,Trade Finance Corp 25,USA,EUR,2025-10-22T15:37:13.144451
ACQ23920854,Commercial Bank 26,USA,EUR,2025-10-22T15:37:13.144452
ACQ74171756,Business Bank 27,USA,USD,2025-10-22T15:37:13.144454
ACQ38169626,Commercial Bank 28,USA,USD,2025-10-22T15:37:13.144455
ACQ98849091,Payment Processing Corp 29,USA,GBP,2025-10-22T15:37:13.144457
ACQ13413916,Trade Finance Corp 30,USA,USD,2025-10-22T15:37:13.144458
ACQ98776980,Commercial Bank 31,USA,USD,2025-10-22T15:37:13.144460
ACQ23796684,Commercial Bank 32,USA,USD,2025-10-22T15:37:13.144461
ACQ59102917,Corporate Trust 33,USA,USD,2025-10-22T15:37:13.144462
ACQ16364440,Payment Processing Corp 34,USA,USD,2025-10-22T15:37:13.144464
ACQ54432539,Global Payments 35,USA,EUR,2025-10-22T15:37:13.144465
ACQ46142670,Business Bank 36,USA,GBP,2025-10-22T15:37:13.144467
ACQ55924309,Enterprise Bank 37,USA,USD,2025-10-22T15:37:13.144468
ACQ65324468,Commercial Bank 38,USA,USD,2025-10-22T15:37:13.144471
ACQ83431757,Trade Finance Corp 39,USA,USD,2025-10-22T15:37:13.144472
ACQ73223827,Trade Finance Corp 40,USA,EUR,2025-10-22T15:37:13.144473
ACQ86667273,Business Bank 41,USA,USD,2025-10-22T15:37:13.144475
ACQ99516240,Trade Finance Corp 42,USA,USD,2025-10-22T15:37:13.144476
ACQ45308441,Commercial Bank 43,USA,GBP,2025-10-22T15:37:13.144478
ACQ23062126,Business Bank 44,USA,GBP,2025-10-22T15:37:13.144479
ACQ87709603,Commerce Bank 45,USA,USD,2025-10-22T15:37:13.144481
ACQ77550151,Enterprise Bank 46,USA,USD,2025-10-22T15:37:13.144482
ACQ59401973,Payment Processing Corp 47,USA,USD,2025-10-22T15:37:13.144483
ACQ39836388,Corporate Trust 48,USA,EUR,2025-10-22T15:37:13.144485
ACQ77184510,Global Payments 49,USA,USD,2025-10-22T15:37:13.144486
ACQ34991824,Enterprise Bank 50,USA,EUR,2025-10-22T15:37:13.144488
ACQ88698588,Enterprise Bank 51,USA,USD,2025-10-22T15:37:13.144489
ACQ10563009,Enterprise Bank 52,USA,GBP,2025-10-22T15:37:13.144490
ACQ65459438,Business Bank 53,USA,USD,2025-10-22T15:37:13.144492
ACQ13088456,Global Payments 54,USA,USD,2025-10-22T15:37:13.144493
ACQ92975636,Commerce Bank 55,USA,EUR,2025-10-22T15:37:13.144494
ACQ87093960,Business Bank 56,USA,EUR,2025-10-22T15:37:13.144496
ACQ86806618,Trade Finance Corp 57,USA,USD,2025-10-22T15:37:13.144497
ACQ87305838,Merchant Services Inc 58,USA,USD,2025-10-22T15:37:13.144499
ACQ67044521,Commercial Bank 59,USA,USD,2025-10-22T15:37:13.144500
ACQ40786358,Enterprise Bank 60,USA,EUR,2025-10-22T15:37:13.144502
ACQ45685814,Global Payments 61,USA,EUR,2025-10-22T15:37:13.144503
ACQ48096553,Enterprise Bank 62,USA,USD,2025-10-22T15:37:13.144504
ACQ63601601,Merchant Services Inc 63,USA,EUR,2025-10-22T15:37:13.144506
ACQ21580031,Commerce Bank 64,USA,USD,2025-10-22T15:37:13.144507
ACQ89360629,Business Bank 65,USA,USD,2025-10-22T15:37:13.144509
ACQ47827007,Global Payments 66,USA,USD,2025-10-22T15:37:13.144512
ACQ17047272,Commerce Bank 67,USA,EUR,2025-10-22T15:37:13.144513
ACQ51737079,Payment Processing Corp 68,USA,USD,2025-10-22T15:37:13.144514
ACQ75850566,Commerce Bank 69,USA,USD,2025-10-22T15:37:13.144516
ACQ80412924,Commerce Bank 70,USA,USD,2025-10-22T15:37:13.144517
ACQ43200820,Merchant Services Inc 71,USA,USD,2025-10-22T15:37:13.144518
ACQ68206259,Global Payments 72,USA,USD,2025-10-22T15:37:13.144520
ACQ84731635,Payment Processing Corp 73,USA,USD,2025-10-22T15:37:13.144521
ACQ57526833,Payment Processing Corp 74,USA,USD,2025-10-22T15:37:13.144523
ACQ59422062,Commercial Bank 75,USA,USD,2025-10-22T15:37:13.144524
