merchant_id,merchant_name,merchant_category_code,merchant_category_name,merchant_country,acquirer_id,annual_volume,risk_level,created_at
MER92235077,Computer World - Mall #1,5045,COMPUTERS,USA,ACQ16134854,1426991.31,MEDIUM,2025-10-22T15:37:13.144610
MER31686973,Highway Stop - Street #2,5541,GAS_STATIONS,USA,ACQ38169626,7005930.64,MEDIUM,2025-10-22T15:37:13.144623
MER49175161,Quick Bites - Center #3,5814,FAST_FOOD,USA,ACQ59401973,7279445.52,MEDIUM,2025-10-22T15:37:13.144628
MER32187724,Steakhouse - Mall #4,5812,RESTAURANTS,USA,ACQ23796684,5755422.00,LOW,2025-10-22T15:37:13.144632
MER63508389,Organic Market - Street #5,5411,GROCERY_STORES,USA,ACQ97463686,2307531.18,MEDIUM,2025-10-22T15:37:13.144635
MER92270122,Global Air - West End #6,4511,AIRLINES,USA,ACQ10563009,3978149.45,MEDIUM,2025-10-22T15:37:13.144637
MER88121906,Luxury Suites - Square #7,7011,HOTELS_MOTELS,USA,ACQ77550151,7184390.44,HIGH,2025-10-22T15:37:13.144640
MER80802976,Steakhouse - Square #8,5812,RESTAURANTS,USA,ACQ68295546,2591540.80,LOW,2025-10-22T15:37:13.144643
MER12914044,Quick Meds - Center #9,5912,DRUG_STORES,USA,ACQ16786748,1782480.52,MEDIUM,2025-10-22T15:37:13.144645
MER29161724,Sky Airlines - North #10,4511,AIRLINES,USA,ACQ23796684,1059691.68,LOW,2025-10-22T15:37:13.144648
MER55935825,Electronics Plus - South #11,5732,ELECTRONICS,USA,ACQ65459438,190664.93,HIGH,2025-10-22T15:37:13.144651
MER41493622,Burger Joint - East Side #12,5814,FAST_FOOD,USA,ACQ43200820,5052547.35,LOW,2025-10-22T15:37:13.144654
MER31440539,Value Foods - West End #13,5411,GROCERY_STORES,USA,ACQ83195410,4853616.73,LOW,2025-10-22T15:37:13.144657
MER95672239,Health Drugs - South #14,5912,DRUG_STORES,USA,ACQ87093960,9366386.25,MEDIUM,2025-10-22T15:37:13.144659
MER77305093,Cinema Palace - East Side #15,7832,MOVIE_THEATERS,USA,ACQ59102917,5885828.01,LOW,2025-10-22T15:37:13.144662
MER86176266,PC Store - Center #16,5045,COMPUTERS,USA,ACQ16786748,7760644.67,HIGH,2025-10-22T15:37:13.144668
MER79379453,Global Air - Uptown #17,4511,AIRLINES,USA,ACQ99516240,1139589.59,HIGH,2025-10-22T15:37:13.144671
MER68853649,Variety Shop - East Side #18,5999,MISC_RETAIL,USA,ACQ40786358,6798564.97,LOW,2025-10-22T15:37:13.144673
MER53216845,Italian Kitchen - Avenue #19,5812,RESTAURANTS,USA,ACQ27025684,209401.21,LOW,2025-10-22T15:37:13.144676
MER43575034,Health Drugs - North #20,5912,DRUG_STORES,USA,ACQ67044521,6785438.27,LOW,2025-10-22T15:37:13.144678
MER31190939,Gadget Store - Downtown #21,5732,ELECTRONICS,USA,ACQ59401973,1805184.41,MEDIUM,2025-10-22T15:37:13.144681
MER12107331,Mega Store - Downtown #22,5311,DEPARTMENT_STORES,USA,ACQ74171756,2454776.07,MEDIUM,2025-10-22T15:37:13.144684
MER69546112,Tech World - Square #23,5732,ELECTRONICS,USA,ACQ13088456,8114036.66,LOW,2025-10-22T15:37:13.144686
MER16218850,Health Drugs - Uptown #24,5912,DRUG_STORES,USA,ACQ27025684,8714598.23,LOW,2025-10-22T15:37:13.144689
MER91255813,Hair Studio - Square #25,7230,BEAUTY_SALONS,USA,ACQ34991824,1713883.06,LOW,2025-10-22T15:37:13.144691
MER10720088,Variety Shop - South #26,5999,MISC_RETAIL,USA,ACQ98776980,5351522.94,LOW,2025-10-22T15:37:13.144694
MER93646028,Care Doctors - Plaza #27,8011,DOCTORS,USA,ACQ23920854,3309717.15,MEDIUM,2025-10-22T15:37:13.144697
MER83752237,City Bus - North #28,4111,LOCAL_TRANSIT,USA,ACQ38169626,5257946.46,HIGH,2025-10-22T15:37:13.144699
MER45177228,City Bus - South #29,4111,LOCAL_TRANSIT,USA,ACQ59102917,617541.02,LOW,2025-10-22T15:37:13.144702
MER14332693,Quick Fuel - Avenue #30,5541,GAS_STATIONS,USA,ACQ92199302,4511333.29,LOW,2025-10-22T15:37:13.144704
MER18526719,Fitness Club - Square #31,7941,SPORTS_RECREATION,USA,ACQ92199302,5590548.24,MEDIUM,2025-10-22T15:37:13.144707
MER60183430,Variety Shop - Street #32,5999,MISC_RETAIL,USA,ACQ93095511,756175.81,LOW,2025-10-22T15:37:13.144711
MER42851088,Cinema Palace - Downtown #33,7832,MOVIE_THEATERS,USA,ACQ37193460,7506157.75,LOW,2025-10-22T15:37:13.144714
MER57941842,Grand Hotel - Plaza #34,7011,HOTELS_MOTELS,USA,ACQ87093960,3101511.89,LOW,2025-10-22T15:37:13.144717
MER95989048,Grand Hotel - Avenue #35,7011,HOTELS_MOTELS,USA,ACQ99516240,8504502.26,LOW,2025-10-22T15:37:13.144719
MER48993736,Footwear Express - South #36,5661,SHOE_STORES,USA,ACQ47827007,9995944.57,LOW,2025-10-22T15:37:13.144722
MER14567731,Steakhouse - Center #37,5812,RESTAURANTS,USA,ACQ88698588,3775819.69,LOW,2025-10-22T15:37:13.144725
MER91630952,Grand Hotel - East Side #38,7011,HOTELS_MOTELS,USA,ACQ90073591,7541026.73,MEDIUM,2025-10-22T15:37:13.144727
MER51063207,Family Department - Square #39,5311,DEPARTMENT_STORES,USA,ACQ51737079,3970081.04,LOW,2025-10-22T15:37:13.144730
