CustomerId,Segment,SatisfactionScore,DataAllocationGb,DataUsedGb,TotalAmount,PaymentStatus,DownloadSpeed,UploadSpeed,Latency,ServiceInteractionCount,FeedbackRating,ChurnRisk,ChurnRiskFactors,Churn
"1","Business","1","100","77.5","94.46","Pending","89.88","17.98","32","1","0.1","0.56","Low satisfaction score,Low feedback ratings,Competitor offers","1"
"2","Family","9","20","14.41","30.54","Pending","10.58","2.12","50","3","3.6","0.63","Poor network performance,Competitor offers","1"
"3","Standard","2","10","13.47","25.52","Pending","75.68","15.14","147","4","0.2","0.91","Low satisfaction score,High data usage,Poor network performance,Frequent service interactions,Low feedback ratings","1"
"4","Premium","10","100","56.96","87.74","Pending","123.99","24.8","35","4","5.3","0.37","Frequent service interactions","1"
"5","Premium","4","100","67.11","88.9","Paid","57.26","11.45","173","2","2.4","0.52","Low satisfaction score,Poor network performance,Low feedback ratings","0"
"6","Business","6","20","15.35","56.53","Overdue","97.26","19.45","177","4","2.3","0.9","Payment issues,Poor network performance,Frequent service interactions,Low feedback ratings","1"
"7","Student","5","20","17.24","32.98","Paid","50.43","10.09","38","2","2.6","0.42","Low feedback ratings","1"
"8","Standard","9","10","14.71","26.8","Paid","74.86","14.97","184","0","0","0.57","High data usage,Poor network performance","0"
"9","Premium","7","20","10.06","47","Pending","119.75","23.95","139","0","0","0.4","Poor network performance","0"
"10","Student","4","10","12.63","25.2","Pending","40.42","8.08","92","1","2.9","0.77","Low satisfaction score,High data usage,Low feedback ratings","0"
"11","Business","4","50","72.35","68.78","Paid","19.93","3.99","42","4","2.9","0.75","Low satisfaction score,High data usage,Poor network performance,Frequent service interactions,Low feedback ratings","1"
"12","Family","9","100","118.99","72.98","Paid","70.45","14.09","105","5","3.9","0.5","High data usage,Poor network performance,Frequent service interactions,Competitor offers","1"
"13","Student","2","5","2.54","23.44","Paid","11.4","2.28","94","2","0.6","0.73","Low satisfaction score,Poor network performance,Low feedback ratings","1"
"14","Student","9","5","6.42","23.88","Paid","15.53","3.11","118","1","4.3","0.67","High data usage,Poor network performance","0"
"15","Premium","2","5","3.45","37.11","Paid","37.7","7.54","29","5","0.2","0.5","Low satisfaction score,Frequent service interactions,Low feedback ratings,Competitor offers","0"
"16","Business","4","5","4.53","52.3","Overdue","95.73","19.15","10","0","0","0.73","Low satisfaction score,Payment issues","1"
"17","Standard","9","100","121.84","65.17","Paid","97.18","19.44","158","0","0","0.48","High data usage,Poor network performance,Competitor offers","1"
"18","Standard","9","50","32.87","49.15","Paid","26.72","5.34","162","2","3.8","0.49","Poor network performance","0"
"19","Business","10","2","1.84","51.85","Paid","99.89","19.98","193","3","4.8","0.4","Poor network performance","0"
"20","Business","1","20","22.42","60.76","Paid","67.25","13.45","43","0","0","0.61","Low satisfaction score,High data usage","0"
"21","Family","8","50","60.18","46.01","Late","68.86","13.77","12","5","3.6","0.8","Payment issues,High data usage,Frequent service interactions,Competitor offers","1"
"22","Business","2","100","105.32","95.45","Paid","79.14","15.83","172","0","0","0.56","Low satisfaction score,High data usage,Poor network performance","1"
"23","Business","2","100","92.36","95.53","Paid","94.58","18.92","77","4","1.1","0.43","Low satisfaction score,Frequent service interactions,Low feedback ratings,Competitor offers","1"
"24","Family","9","2","2.67","21.35","Paid","21.47","4.29","88","1","4.8","0.32","High data usage,Competitor offers","1"
"25","Student","5","100","65.46","76.02","Overdue","92.3","18.46","115","3","2.6","0.97","Payment issues,Poor network performance,Low feedback ratings","1"
"26","Family","5","5","6.44","20.74","Overdue","87.27","17.45","66","4","1.7","0.91","Payment issues,High data usage,Frequent service interactions,Low feedback ratings","1"
"27","Family","7","10","7.79","22.85","Pending","41.6","8.32","140","5","2.7","0.71","Poor network performance,Frequent service interactions,Low feedback ratings","1"
"28","Student","5","2","2.19","20.35","Pending","49.04","9.81","39","5","1.4","0.79","High data usage,Frequent service interactions,Low feedback ratings","1"
"29","Student","3","20","11.4","30.99","Paid","36.51","7.3","194","0","0","0.62","Low satisfaction score,Poor network performance","1"
"30","Premium","9","5","4.6","40.8","Paid","108.1","21.62","87","1","3.6","0.29","None","1"
"31","Premium","9","20","23.51","45.1","Pending","117.67","23.53","178","5","4.3","0.57","High data usage,Poor network performance,Frequent service interactions","1"
"32","Family","5","5","6.53","20.91","Paid","98.55","19.71","166","0","0","0.5","High data usage,Poor network performance","1"
"33","Family","7","20","17.99","27.89","Paid","90.34","18.07","37","0","0","0.34","None","1"
"34","Standard","1","50","37.46","48.14","Paid","82.13","16.43","180","5","1.2","0.81","Low satisfaction score,Poor network performance,Frequent service interactions,Low feedback ratings","0"
"35","Student","5","20","27.94","31.46","Paid","25.8","5.16","173","5","2","0.79","High data usage,Poor network performance,Frequent service interactions,Low feedback ratings","1"
"36","Family","5","10","8.2","25.2","Paid","30.81","6.16","187","2","1.1","0.49","Poor network performance,Low feedback ratings","1"
"37","Family","7","20","28.1","30.5","Paid","87.11","17.42","157","1","3.9","0.49","High data usage,Poor network performance","1"
"38","Standard","9","100","123.46","74.2","Overdue","53.94","10.79","79","1","3.8","0.81","Payment issues,High data usage","1"
"39","Standard","3","50","51.71","48.66","Paid","69.67","13.93","31","2","1.7","0.55","Low satisfaction score,High data usage,Low feedback ratings","1"
"40","Standard","6","10","12.61","24.4","Pending","84.87","16.97","74","0","0","0.63","High data usage,Competitor offers","1"
"41","Premium","6","2","2.56","37.09","Pending","101.17","20.23","15","2","2.3","0.53","High data usage,Low feedback ratings","0"
"42","Premium","6","50","55.36","62.98","Paid","107.97","21.59","37","3","3.2","0.43","High data usage","0"
"43","Family","2","50","59.53","46.15","Paid","79.52","15.9","185","1","1.6","0.52","Low satisfaction score,High data usage,Poor network performance,Low feedback ratings","1"
"44","Premium","4","100","84.12","90.94","Pending","25.12","5.02","172","0","0","0.43","Low satisfaction score,Poor network performance,Competitor offers","1"
"45","Student","3","50","63.73","44.68","Pending","50.45","10.09","72","0","0","0.77","Low satisfaction score,High data usage","1"
"46","Standard","10","50","58.41","43.53","Paid","39.25","7.85","134","3","4.7","0.63","High data usage,Poor network performance","0"
"47","Business","9","5","2.93","54.81","Paid","94.44","18.89","175","0","0","0.27","Poor network performance","0"
"48","Standard","4","10","11.64","24.35","Paid","40.94","8.19","200","3","2.4","0.66","Low satisfaction score,High data usage,Poor network performance,Low feedback ratings,Competitor offers","1"
"49","Family","6","2","2.49","22.89","Paid","27.24","5.45","199","5","4","0.61","High data usage,Poor network performance,Frequent service interactions,Competitor offers","1"
"50","Family","5","5","4.3","21.61","Pending","21.39","4.28","21","0","0","0.46","Competitor offers","0"
"51","Standard","2","2","2.15","20.87","Paid","26.59","5.32","23","4","0.2","0.68","Low satisfaction score,High data usage,Frequent service interactions,Low feedback ratings","1"
"52","Business","3","5","6.56","57.22","Paid","37.75","7.55","116","5","0.5","0.73","Low satisfaction score,High data usage,Poor network performance,Frequent service interactions,Low feedback ratings","1"
"53","Student","6","50","56.05","45.99","Pending","72.64","14.53","64","1","2.3","0.58","High data usage,Low feedback ratings,Competitor offers","1"
"54","Standard","10","20","15.83","28.39","Pending","73.27","14.65","126","2","5.8","0.59","Poor network performance","0"
"55","Family","7","2","2.09","21.62","Overdue","84.4","16.88","28","3","3.2","0.85","Payment issues,High data usage","0"
"56","Standard","5","100","90.25","66.81","Paid","49.4","9.88","163","4","2.5","0.53","Poor network performance,Frequent service interactions,Low feedback ratings","1"
"57","Student","10","100","132.14","71.07","Pending","22.05","4.41","123","0","0","0.67","High data usage,Poor network performance","1"
"58","Standard","2","20","16.96","29","Paid","87.2","17.44","94","4","0.6","0.64","Low satisfaction score,Frequent service interactions,Low feedback ratings","0"
"59","Standard","2","10","7.52","23.08","Pending","87.84","17.57","10","5","0.9","0.71","Low satisfaction score,Frequent service interactions,Low feedback ratings","1"
"60","Standard","8","2","1.41","21.21","Overdue","49.43","9.89","188","1","4.9","0.72","Payment issues,Poor network performance,Competitor offers","1"
"61","Student","1","20","11.86","32.95","Overdue","37.89","7.58","49","3","1","0.99","Low satisfaction score,Payment issues,Low feedback ratings","1"
"62","Family","8","50","32.23","42.22","Paid","77.17","15.43","44","0","0","0.32","None","0"
"63","Student","5","10","12.26","26.69","Paid","66.59","13.32","124","3","1.7","0.72","High data usage,Poor network performance,Low feedback ratings","0"
"64","Family","4","50","44.15","48.2","Paid","38.64","7.73","131","0","0","0.42","Low satisfaction score,Poor network performance","0"
"65","Family","8","2","1.25","22.95","Paid","19.03","3.81","122","4","3","0.7","Poor network performance,Frequent service interactions","1"
"66","Business","8","10","8.39","57.12","Paid","108.82","21.76","146","3","4.3","0.48","Poor network performance","0"
"67","Student","2","100","118.44","67.02","Paid","18.02","3.6","172","0","0","0.79","Low satisfaction score,High data usage,Poor network performance","1"
"68","Business","1","10","12.96","52.73","Paid","26.78","5.36","154","2","0.3","0.76","Low satisfaction score,High data usage,Poor network performance,Low feedback ratings","1"
